帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/28,14:06:06,"Hung-y-w感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/07/28,14:06:06,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/07/28,14:06:06,貼圖已傳送
User,Hung,2024/07/28,14:06:43,請問你們的電話怎麼無人接聽呢？
User,Hung,2024/07/28,14:07:08,想確認訂房
Account,Lyken,2024/07/28,14:13:23,訂房問題請直接這裡留言噢！
User,Hung,2024/07/28,14:13:54,想確認明天訂房
Account,Lyken,2024/07/28,14:14:34,請提供訂單編號
User,Hung,2024/07/28,14:14:47,1313513332
User,Hung,2024/07/28,14:15:43,請問你們的電話是幾號？
Account,Lyken,2024/07/28,14:16:42,08-8822161
Account,Lyken,2024/07/28,14:17:14,訂房問題一律官方line@詢問喔
User,Hung,2024/07/28,14:18:37,再麻煩確認我的訂房，謝謝
Account,Lyken,2024/07/28,14:19:57,請問哪裡預定的？
User,Hung,2024/07/28,14:20:54,agoda
Account,Lyken,2024/07/28,14:37:00,有收到您的預定，29入住30退房，標準四人房一間不含早餐！
User,Hung,2024/07/28,14:41:03,嗯嗯，謝謝
Account,Lyken,2024/07/29,14:46:41,請問今天預計幾點抵達？
User,Hung,2024/07/29,14:56:02,應該會下午6點過後，目前在台中用餐
Account,Lyken,2024/07/29,15:00:40,好的
