帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/06,19:15:40,"🍉Emma感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/07/06,19:15:40,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/07/06,19:15:40,貼圖已傳送
User,🍉Emma,2024/07/06,19:16:12,照片已傳送
User,🍉Emma,2024/07/06,19:16:24,你好 我想確認有沒有預定成功
User,🍉Emma,2024/07/06,19:17:10,照片已傳送
Account,Lyken,2024/07/06,19:47:19,有收到您的預訂了
User,🍉Emma,2024/07/06,19:52:09,謝謝
User,🍉Emma,2024/07/25,17:02:07,老闆請問屏東有淹水嗎
Account,Lyken,2024/07/25,17:22:24,沒有喔
User,🍉Emma,2024/07/25,17:24:54,請問如果道路中斷沒辦法過去的話 可以延期嗎
User,🍉Emma,2024/07/25,17:25:36,照片已傳送
Account,Lyken,2024/07/25,17:26:05,沒有中斷噢
Account,Lyken,2024/07/25,17:26:11,走國道三號
Account,Lyken,2024/07/25,17:26:24,剛剛我們有人從高雄回來
User,🍉Emma,2024/07/25,17:26:35,Ok  海灘一切都正常是嗎
Account,Lyken,2024/07/25,17:27:33,海灘不建議去
User,🍉Emma,2024/07/25,17:30:20, Agoda訂房無法延期對嗎 😞
Account,Lyken,2024/07/25,17:42:36,要看您的方案內容喔
