帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/19,10:13:42,"雁感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/07/19,10:13:42,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/07/19,10:13:42,貼圖已傳送
User,雁,2024/07/19,10:13:53,您好
User,雁,2024/07/19,10:14:25,想詢問關於訂房問題
Account,Lyken,2024/07/19,10:15:25,請說
User,雁,2024/07/19,10:19:10,"有在agoda訂房(編號1301597512),訂了後隔沒幾個小時看到房價比較優惠致電agoda客服要取消原訂單重新下新訂單,agoda那邊有提醒要用原訂購人的帳號再下單,新訂單編號1301926464,訂好後再致電agoda,他們那邊說連繫不上你們,想說跟你們確認一下訂單情形"
Account,Lyken,2024/07/19,10:19:40,訂單依agoda為準噢
Account,Lyken,2024/07/19,10:19:54,我們這裡無法修改
User,雁,2024/07/19,10:20:01,取消第一單也是透過他們嗎
User,雁,2024/07/19,10:20:18,好的
Account,Lyken,2024/07/19,10:20:21,是的，與他們聯絡
User,雁,2024/07/19,10:20:29,謝謝
User,雁,2024/07/19,11:32:57,"剛聯絡agoda,他們說有寄電子郵件給旅棧,要旅棧這邊點同意,他們才能取消,再請協助收件,謝謝"
User,雁,2024/07/19,11:50:12,"agoga那邊有處理好了,謝謝您"
