帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Han,2024/07/13,12:46:01,請問明天晚上還有房間嗎
Account,Lyken,2024/07/13,15:40:32,有喔
User,Han,2024/07/13,15:57:22,四人房的價位就是官網上面的嗎？
Account,Lyken,2024/07/13,15:57:56,是的
Account,Lyken,2024/07/13,15:58:02,含早餐車位
User,Han,2024/07/13,15:58:08,了解
User,Han,2024/07/13,15:58:13,沒有比較優惠了嗎
User,Han,2024/07/13,15:58:23,我們每次來都會到你們那邊
Account,Lyken,2024/07/13,15:59:02,請問先前入住的大名？
User,Han,2024/07/13,16:00:20,吳郁函
Account,Lyken,2024/07/13,16:03:16,含早餐4080幫您優惠
