帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/30,02:53:39,"🍁Maimai🍁感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/06/30,02:53:39,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/06/30,02:53:39,貼圖已傳送
User,🍁Maimai🍁,2024/06/30,02:54:30,不好意思 冷氣不會涼
Account,龜地灣櫃檯,2024/06/30,02:55:24,你們調幾度呢？
User,🍁Maimai🍁,2024/06/30,02:55:30,16
Account,龜地灣櫃檯,2024/06/30,02:55:53,現關掉
User,🍁Maimai🍁,2024/06/30,02:55:56,現在還是很熱🥹
Account,龜地灣櫃檯,2024/06/30,02:55:56,再開
User,🍁Maimai🍁,2024/06/30,02:56:00,好的
Account,龜地灣櫃檯,2024/06/30,02:56:04,調23
User,🍁Maimai🍁,2024/06/30,02:56:14,好的 我們現在試試
Account,龜地灣櫃檯,2024/06/30,02:56:45,變頻冷氣直接調太低會保護不冷
Account,龜地灣櫃檯,2024/06/30,02:57:11,您是幾號房？
User,🍁Maimai🍁,2024/06/30,02:57:12,"好的 我們現在重開了
我們再等一下看看"
User,🍁Maimai🍁,2024/06/30,02:57:25,616
Account,龜地灣櫃檯,2024/06/30,02:57:47,好的
User,🍁Maimai🍁,2024/06/30,02:57:52,貼圖已傳送
Account,龜地灣櫃檯,2024/06/30,02:57:54,您再試一下
User,🍁Maimai🍁,2024/06/30,02:57:58,好的
Account,龜地灣櫃檯,2024/06/30,02:58:04,有問題告知我們
User,🍁Maimai🍁,2024/06/30,02:58:08,好喔
User,🍁Maimai🍁,2024/06/30,03:28:52,"不好意思 床的地方還是不會涼 要在出風口下才會有涼的感覺

請問可以借電風扇嗎？(？)
"
Account,龜地灣櫃檯,2024/06/30,03:29:36,還是去幫你們看一下
User,🍁Maimai🍁,2024/06/30,03:30:31,好
