帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/27,16:25:24,"凱感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/06/27,16:25:24,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/06/27,16:25:24,貼圖已傳送
User,凱,2024/06/27,16:26:45,您好，我昨天有透過agoda訂房，能麻煩您確認有沒有成功嗎?
Account,大美,2024/06/27,18:57:21,你好，煩請給Agoda訂單編號
User,凱,2024/06/27,18:59:54,"Agoda預訂概要 (kuei ti wan hotel)：
Classic Double Room
入住日期： 2024年6月29日
退房日期： 2024年6月30日
預訂編號： 1277861976
Agoda預訂概要 (kuei ti wan hotel)：
Standard Quadruple Room - Non-Smoking
入住日期： 2024年6月29日
退房日期： 2024年6月30日
預訂編號： 1277861980"
User,凱,2024/06/27,19:00:26,另外想問，如果當天要加一個人，怎麼計費呢？
Account,大美,2024/06/27,19:07:45,已預定成功
Account,大美,2024/06/27,19:08:45,"無提供加床、備品
您可能要另加訂房間"
User,凱,2024/06/27,19:08:56, 瞭解 謝謝
Account,大美,2024/06/27,19:09:09,貼圖已傳送
User,凱,2024/06/27,21:14:41,您好 請問我想把雙人改成四人房可以嗎？
Account,Lyken,2024/06/27,21:15:42,更改訂單需要跟agoda方告知，我們有辦法更改訂單
Account,Lyken,2024/06/27,21:15:49,我們沒辦法
User,凱,2024/06/27,21:17:53,瞭解 謝謝
User,凱,2024/06/27,21:18:27,不能直接貼錢給您換成四人嗎？
Account,Lyken,2024/06/27,21:35:43,我們不清楚您在agoda預定的價錢
User,凱,2024/06/27,21:40:51,照片已傳送
User,凱,2024/06/27,21:41:20,請問是依這個金額嗎？
Account,Lyken,2024/06/27,21:41:37,這是不含早餐的加錢對吧
User,凱,2024/06/27,21:42:13,是的
Account,Lyken,2024/06/27,21:42:50,您可以跟agoda取消，直接跟我們預定這樣
Account,Lyken,2024/06/27,21:43:04,會比較划算
User,凱,2024/06/27,21:43:50,它網站上說無法退款 是您那邊已收款嗎？
User,凱,2024/06/27,21:43:59,還是是agoda 規定的
Account,Lyken,2024/06/27,21:44:00,沒收到
Account,Lyken,2024/06/27,21:44:15,你要求要取消
Account,Lyken,2024/06/27,21:44:27,我們同意就可以免費取消
User,凱,2024/06/27,21:44:44,瞭解 那這樣四人房是多少錢
Account,Lyken,2024/06/27,21:46:17,"凱您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2024/06/27,21:46:31,上有房型
Account,Lyken,2024/06/27,21:46:41,都是有含早餐的價錢
User,凱,2024/06/27,21:49:27,標準四人不含早餐呢？
Account,Lyken,2024/06/27,21:50:24,我們預定沒有不含早餐
User,凱,2024/06/27,21:55:48,好的 我詢問一下 謝謝！
User,凱,2024/06/27,22:27:13,"老闆你好 後來決定再訂一間雙人，有再下單了，麻煩您看一下有沒有成功～謝謝

1279566204"
Account,大美,2024/06/28,10:11:47,"早安
訂單1279566204已預訂成功"
User,凱,2024/06/28,10:12:18,好的，謝謝，麻煩您了
Account,大美,2024/06/28,10:12:47,貼圖已傳送
