帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/06,00:19:02,"rogeryang感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/06,00:19:02,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/06,00:19:02,貼圖已傳送
User,rogeryang,2024/02/06,00:19:55,請問一下訂豪華雙人房，我們兩個大人加一個五歲的小朋友要加錢嗎？
Account,AI自動回應訊息,2024/02/06,00:19:55,"rogeryangSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/02/06,01:36:10,小孩不用加錢喔
Account,Lyken,2024/02/06,01:36:29,但是也沒有提供加床服務噢
User,rogeryang,2024/02/06,01:40:02,喔喔好的喔，謝謝
User,rogeryang,2024/02/08,13:59:42,請問一下訂房想取消要付多少錢？
Account,AI自動回應訊息,2024/02/08,13:59:43,"rogeryangSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,rogeryang,2024/02/08,14:34:44,照片已傳送
Account,AI自動回應訊息,2024/02/08,14:34:45,"rogeryangSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,rogeryang,2024/02/08,14:35:20,因為小朋友流感，還是可以延後去的時間？
Account,AI自動回應訊息,2024/02/08,14:35:21,"rogeryangSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/02/08,14:49:52,您好，您預定的日期為連續假期期間，不適用一般取消規定，可幫您申請訂金延期半年內作使用
User,rogeryang,2024/02/08,14:52:35,好的喔，那請幫我延後，謝謝！
Account,敏min,2024/02/08,14:53:56,好的，晚點處理完會與您告知，謝謝您
User,rogeryang,2024/02/08,14:54:07,好的，謝謝！
Account,敏min,2024/02/08,21:22:54,"rogeryang您好，
已幫您取消2024/2/11-2024/2/13的訂房，
並幫您保留訂金半年(2024/08/13前)作為下次入住使用，
請記錄以下編號 或 截圖保存，下次訂房時提供即可，且入住前三天(含以上)須完成訂房。

訂金編號 0002066AAA

提醒您，
下次入住時，房價請參閱官網公告之房價。"
Account,敏min,2024/02/08,21:23:02,"[保留訂金使用方式步驟]
1.於官網先預訂日期和房型，選擇ATM付款訂金，預定完成後，無須轉帳支付訂金。
   如您於訂房時未出現ATM付款選項，表示距離入住日三天內，則無法進行預約使用。
2.完成預訂後，告知您的訂單編號和訂金號碼。
3.我們將人工核准您的訂單和關聯先前訂金保留款。
4.完成作業後將回傳新訂房確認書給您，麻煩務必核對明確，如有異議請立即告知。

注意:新訂單總額如小於保留訂金總額，無法退差額或於現場退款。

有任何問題再歡迎告知我們!!謝謝"
Account,敏min,2024/02/08,21:23:09,照片已傳送
User,rogeryang,2024/02/08,21:24:16,好的喔，謝謝！
Account,AI自動回應訊息,2024/02/08,21:24:16,"rogeryang很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,rogeryang,2024/06/16,18:00:36,請問一下七月分是都只能候補嗎還是？
Account,Lyken,2024/06/16,18:01:06,稍晚會開放預訂喔
User,rogeryang,2024/06/16,18:01:27,喔喔好的！
User,rogeryang,2024/06/18,13:57:45,可以先預定7/13號嗎？
User,rogeryang,2024/06/18,20:39:02,照片已傳送
User,rogeryang,2024/06/18,20:39:03,照片已傳送
User,rogeryang,2024/06/18,20:39:27,你好，我有訂好了7/13號，之前有保留的定金
Account,Lyken,2024/06/19,14:00:21,好的
User,rogeryang,2024/06/26,20:41:49,這樣有訂成功了嗎，還需要什麼程序嗎？
User,rogeryang,2024/06/27,11:40:55,貼圖已傳送
Account,Lyken,2024/06/27,11:51:27,不用喔
Account,Lyken,2024/06/27,11:51:30,這樣就可以了
User,rogeryang,2024/06/27,11:51:44,好的喔，感謝！
