帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/19,15:44:50,"陳品縈感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/19,15:44:50,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/19,15:44:50,貼圖已傳送
User,陳品縈,2024/04/19,15:45:05,"哈囉～不好意思打擾了，我是就醬玩旅遊雜誌的陳品縈，在網路上看到您們的民宿，覺得您們的風格很特別很吸引人，希望能為您們做為期兩個月的報導互惠合作。

再麻煩您們回覆我。
謝謝您。

TRAVEL PLUS就醬玩雜誌媒體簡介：https://drive.google.com/drive/folders/1BOW3Af6eaAVYx1YoQv6ji-MWRZLr0-ab

就醬玩雜誌簡報 - Google Drive"
Account,AI自動回應訊息,2024/04/19,15:45:05,"陳品縈很抱歉
我們無法理解您的疑問，請換個方式再問一次
或請您稍候，將立刻有專人為您解答(moon oops)

訂單問題可以先提供訂單編號
以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/19,15:45:47,可以先告知方案內容
Account,Lyken,2024/04/19,15:46:03,我們回報管理部
User,陳品縈,2024/04/19,15:48:32,好的，您好，我們這次計劃2024.6-7月連續2次跨頁報導，合計4頁（墾丁專欄），另外再拍攝一部兩分鐘的宣傳短片，希望能換到貴會館25張平日四人房的住宿券（周日到周五、含早餐）作為給公司高級訂戶或廣告客戶的回饋品～
User,陳品縈,2024/04/19,15:49:06,檔案已傳送
User,陳品縈,2024/04/19,15:49:06,檔案已傳送
User,陳品縈,2024/04/19,15:49:20,這邊是我們的一些資料以及三月份的電子刊給您參考～
User,陳品縈,2024/05/06,12:34:49,您好，請問考慮的怎麼樣了呢？
Account,AI自動回應訊息,2024/05/06,12:34:49,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,陳品縈,2024/06/17,11:34:30,您好，請問考慮的怎麼樣了呢？
