帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/06,22:07:16,"家淇🤍感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/06,22:07:16,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/06,22:07:16,貼圖已傳送
User,家淇⸜♡⸝,2024/03/06,22:07:24,你們電話都打不進去
Account,AI自動回應訊息,2024/03/06,22:07:24,謝謝您的寶貴意見，我們會盡速處理或加以改善。
Account,Lyken,2024/03/06,22:14:10,這裡小編也可以幫您解答的
User,家淇⸜♡⸝,2024/03/06,22:28:26,我是想問你們停車是平面還是地下室
User,家淇⸜♡⸝,2024/03/06,22:28:59,網路app房價跟實際跟你們訂房價錢差多少？
Account,Lyken,2024/03/06,22:34:57,平面停車場
Account,Lyken,2024/03/06,22:35:07,"家淇🤍您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2024/03/06,22:35:19,價錢官網可以查詢
Account,Lyken,2024/03/06,22:35:34,App我們不清楚哦
User,家淇⸜♡⸝,2024/03/06,23:13:54,那絕對有位子停嗎？
Account,AI自動回應訊息,2024/03/06,23:13:55,"(sparkle)本旅棧附有室內外停車場 (sparkle)
無法指定，需視當天情況安排停車位。​
需先Check in才能進入停車場唷，謝謝 (moon big smile)"
User,家淇⸜♡⸝,2024/03/06,23:14:02,還是說去了不一定有車位？
Account,AI自動回應訊息,2024/03/06,23:14:03,"(sparkle)本旅棧附有室內外停車場 (sparkle)
無法指定，需視當天情況安排停車位。​
需先Check in才能進入停車場唷，謝謝 (moon big smile)"
User,家淇⸜♡⸝,2024/03/06,23:15:28,所以是說我網路訂好房，那天到了那邊不代表有車位可以停？
Account,AI自動回應訊息,2024/03/06,23:15:29,"家淇🤍Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/03/07,13:08:04,有停車位喔，室內或室外無法指定
User,家淇⸜♡⸝,2024/06/08,02:12:49,你好
User,家淇⸜♡⸝,2024/06/08,02:13:15,我想問一下 你們有空氣清淨機可以配在房間裡嗎？
User,家淇⸜♡⸝,2024/06/08,02:13:20,因為我上次忘記詢問
User,家淇⸜♡⸝,2024/06/08,02:13:25,我兒是過敏兒
User,家淇⸜♡⸝,2024/06/08,02:15:09,照片已傳送
User,家淇⸜♡⸝,2024/06/08,09:25:22,🥹
User,家淇⸜♡⸝,2024/06/08,11:19:57,貼圖已傳送
