帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/07,20:18:52,"淑華感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/06/07,20:18:52,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/06/07,20:18:52,貼圖已傳送
User,淑華,2024/06/07,20:22:34,請問可以刷國旅卡嗎？
Account,Lyken,2024/06/07,20:23:26,可以喔
Account,Lyken,2024/06/07,20:23:44,線上預訂和現場刷卡都是國旅卡特約
User,淑華,2024/06/07,20:24:45,現場刷還是要先付訂金嗎
User,淑華,2024/06/07,20:25:08,因爲還加一隻狗
Account,Lyken,2024/06/07,20:26:13,我們一律收取訂金保留房間喔
User,淑華,2024/06/07,20:28:18,訂金刷別的卡、等到了刷整筆國旅卡再退訂金可以嗎？
Account,Lyken,2024/06/07,21:24:16,網路刷卡會自動結帳喔
Account,Lyken,2024/06/07,21:25:09,屆時刷退會產生手續費，所以不建議您這樣
User,淑華,2024/06/07,21:26:02,用轉帳可以退嗎
Account,Lyken,2024/06/07,21:27:13,也是會產生手續費
Account,Lyken,2024/06/07,21:27:39,您的國旅卡直接線上刷卡是可以折抵的
Account,Lyken,2024/06/07,21:27:59,他不需要同一筆
User,淑華,2024/06/07,21:28:14,了解
