帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/04,18:05:35,"乐🐯感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/06/04,18:05:35,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/06/04,18:05:35,貼圖已傳送
User,乐🐯,2024/06/04,18:05:39,您好
User,乐🐯,2024/06/04,18:05:43,請問還有房間嗎
User,乐🐯,2024/06/04,18:05:49,6/8-6/10
User,乐🐯,2024/06/04,18:06:10,我要兩間雙人一間四人
User,乐🐯,2024/06/04,18:08:29,哈囉
Account,Lyken,2024/06/04,18:22:19,有喔
Account,Lyken,2024/06/04,18:22:31,"乐🐯您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,乐🐯,2024/06/04,18:31:41,3880
Account,Lyken,2024/06/04,18:32:41,直接官網幫我們預定就可以了喔
User,乐🐯,2024/06/04,18:56:11,好的
User,乐🐯,2024/06/06,10:35:49,照片已傳送
User,乐🐯,2024/06/06,10:35:51,您好
Account,Lyken,2024/06/06,10:36:18,你好
User,乐🐯,2024/06/06,10:36:40,我剛剛在agoda播這支電話  結果是私人的  可能要麻煩您們請agoda修改
User,乐🐯,2024/06/06,10:36:52,然後我剛剛有訂房 我的訂單編號1291083041
User,乐🐯,2024/06/06,10:37:17,我想詢問到時候check in
User,乐🐯,2024/06/06,10:37:48,需要帶實體卡嗎  因為我已付款完成
User,乐🐯,2024/06/06,10:38:08,但信用卡是家人的  家人人在台北  不會跟我們去  
Account,Lyken,2024/06/06,10:38:09,到現場不用再支付喔
User,乐🐯,2024/06/06,10:38:39,所以我出示入住憑證就好嗎
Account,Lyken,2024/06/06,10:53:47,是的，出示訂房確認書就可以了喔
User,乐🐯,2024/06/06,10:53:56,好的謝謝
