帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/30,22:01:36,"Sweety Peko感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/05/30,22:01:36,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/05/30,22:01:36,貼圖已傳送
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:03:43,你好：請問我有在Agoda訂房6/8星期六__2間標準三人房，是否有訂房成功呢？
Account,Lyken,2024/05/30,22:04:50,請提供訂單編號
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:05:12,1245839452
Account,Lyken,2024/05/30,22:09:33,有收到您的預訂了喔
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:10:09,嗯嗯，謝謝！
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:10:52,"請問這個房型是一大床一單人床嗎？
請問確認一下入住時間是下午3點嗎？"
Account,Lyken,2024/05/30,22:29:26,入住時間下午三點哦
Account,Lyken,2024/05/30,22:30:24,床型會依當天先到安排喔
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:31:14,好的，了解，謝謝！
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:31:52,有提供免費早餐嗎？還是需付費呢？
Account,Lyken,2024/05/30,22:41:58,你預定的是不含早餐方案
User,Ⓢⓦⓔⓔⓣⓨ Ⓟⓔⓚⓞ,2024/05/30,22:42:46,好，謝謝！
