帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/25,23:28:57,"Daphy 竹萱感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/05/25,23:28:57,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/05/25,23:28:57,貼圖已傳送
User,Daphy,2024/05/25,23:29:02,hello
User,Daphy,2024/05/25,23:29:07,不好意思
Account,Lyken,2024/05/25,23:29:20,你好
User,Daphy,2024/05/25,23:29:29,我是agoda訂房的
User,Daphy,2024/05/25,23:29:44,😭😭因為比較晚訂 我看有confirm
User,Daphy,2024/05/25,23:29:52,我就沒打電話過來
Account,Lyken,2024/05/25,23:29:55,麻煩提供訂單編號
User,Daphy,2024/05/25,23:30:01,我剛到門口好
Account,Lyken,2024/05/25,23:30:29,稍等一下喔
User,Daphy,2024/05/25,23:30:46,照片已傳送
User,Daphy,2024/05/25,23:30:48,謝謝
User,Daphy,2024/05/25,23:31:13,照片已傳送
Account,Lyken,2024/05/25,23:48:35,有什麼問題可以直接line告訴我們哦
User,Daphy,2024/05/26,00:40:21,謝謝☺️
User,Daphy,2024/05/26,10:13:17,請問退房房卡放哪
User,Daphy,2024/05/26,10:13:34,一樓沒看到人～
User,Daphy,2024/05/26,10:13:54,阿看到了 櫃檯有寫
Account,Lyken,2024/05/26,10:14:00,直接幫我們放櫃檯桌上就可以了喔
Account,Lyken,2024/05/26,10:14:05,謝謝！
User,Daphy,2024/05/26,10:16:16,照片已傳送
