帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/22,13:28:07,".感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/05/22,13:28:07,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/05/22,13:28:07,貼圖已傳送
User,.,2024/05/22,13:29:06,1237547640
Account,Lyken,2024/05/22,13:30:54,你好
Account,Lyken,2024/05/22,13:31:03,有甚麼能協助您的嗎?
User,.,2024/05/22,13:31:56,我有在agoda上面訂房，但是現在收到通知，你們取消，導致我們現在沒有房間可以住
Account,Lyken,2024/05/22,13:36:03,因agoda導致價錢錯誤，目前與agoda有問題需釐清，所以提前告知可以免費取消
Account,Lyken,2024/05/22,13:45:20,"如果真的無法找到預定到其他房間，我們有以下替代方案
先至agoda要求免費取消預定，改由我們官網預定同房型
官網訂房網址https://lihi.tv/gBe19
預訂後告知我們訂單編號，我們統一折扣尾款$1000元整。
(官網預定只有含早餐方案，無不含早餐方案)"
User,.,2024/05/22,13:49:49,所以現在是我去取消後，直接跟你們預訂房間，然後可以折扣1000元是嘛
Account,Lyken,2024/05/22,14:02:21,對
User,.,2024/05/22,14:21:24,"您好，我已經申請取消了
房型我在跟我朋友討論，確定哪一間後會再告知您們，真的非常感謝你們！"
Account,Lyken,2024/05/22,14:37:42,好的，要盡快喔
Account,Lyken,2024/05/22,14:37:53,等他們修復後價錢會再開放
