帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/15,18:00:11,"張培培😆😆感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/05/15,18:00:12,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/05/15,18:00:12,貼圖已傳送
User,張培培😆😆,2024/05/15,18:02:21,"你好 我今天有在Agoda上訂房 想確認是否有訂成功 
但打電話都沒人接 
可以幫我確認一下嗎 

訂房編號 1235854408
另外 想請問我們的房型 是否沒有包含早餐"
User,張培培😆😆,2024/05/16,20:16:24,哈嚕
User,張培培😆😆,2024/05/16,20:16:43,可以回覆我一下嗎
Account,Lyken,2024/05/16,20:23:31,"你好，您的預訂因旅棧跟agoda有折扣優惠上爭議，目前尚未明確有結果，旅棧也未收取到您的訂金。
為了確保您可以如期安排旅程，建議您直接致電agoda客服告知需全額退費，旅棧不會收取任何取消費用。謝謝"
User,張培培😆😆,2024/05/16,20:24:48,好 我在問問看
User,張培培😆😆,2024/05/16,20:33:32,我已經取消了 再麻煩你們協助一下
Account,Lyken,2024/05/16,20:33:56,好的
Account,Lyken,2024/05/16,20:34:08,已同意免費取消
User,張培培😆😆,2024/05/16,20:34:27,好喔 謝謝你們 
Account,Lyken,2024/05/16,20:35:08,如需預訂可以直接我們官網預定，這樣能確保您的旅程安排
User,張培培😆😆,2024/05/16,20:35:24,好的 我看看
Account,Lyken,2024/05/16,20:35:34,好的
