帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/03,14:50:37,"𖤐𝕬𝖎𝖓𝖔𓋹𝕷𝖔𝖑𝖎𝖙𝖆𖤐感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/05/03,14:50:37,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/05/03,14:50:37,貼圖已傳送
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:51:40,貼圖已傳送
Account,AI自動回應訊息,2024/05/03,14:51:40,貼圖已傳送
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:51:52,想詢問
Account,AI自動回應訊息,2024/05/03,14:51:52,"您可以立即詢問以下問題，例如：
・我要預約
・訂單查詢
・營業時間
・店家地址"
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:52:01,照片已傳送
Account,AI自動回應訊息,2024/05/03,14:52:02,"𖤐𝕬𝖎𝖓𝖔𓋹𝕷𝖔𝖑𝖎𝖙𝖆𖤐Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:52:35,到現場我需要出示什麼資料呢
Account,AI自動回應訊息,2024/05/03,14:52:36,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:52:56,1224220832
Account,AI自動回應訊息,2024/05/03,14:52:57,"𖤐𝕬𝖎𝖓𝖔𓋹𝕷𝖔𝖑𝖎𝖙𝖆𖤐歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/05/03,14:52:57,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,Lyken,2024/05/03,14:53:33,告知訂房號碼就可以了喔
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:54:05,訂單編號嗎
Account,Lyken,2024/05/03,14:54:16,是的
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:54:40,我上面貼Agoda 的那個編號對嗎
Account,Lyken,2024/05/03,14:54:55,是的
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:55:00,好喔謝謝
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:55:02,另外
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:55:24,"我可能十到十一點那邊
才會抵達"
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:56:45,"先告知一下
因為我看上面有寫說24小時櫃檯服務"
Account,Lyken,2024/05/03,14:57:20,最晚辦理入住11點以前喔
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:57:27,了解
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,14:58:02,貼圖已傳送
User,𖤐𝕷𝖊𝖘𝖙𝖆.𝕬𝖑𝖎𝖈𝖎𝖆.𝕷𝖔𝖛𝖊𝖙𝖙,2024/05/03,15:00:49,估算了一下時間可能會壓線(Capoo confused)
Account,Lyken,2024/05/03,15:01:22,請依規定時間前辦理入住
