帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/15,10:54:59,"阿殼感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/15,10:54:59,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/15,10:54:59,貼圖已傳送
User,阿殼,2024/04/15,14:22:53,照片已傳送
Account,AI自動回應訊息,2024/04/15,14:22:54,"阿殼Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,阿殼,2024/04/15,14:23:21,1206532016
Account,AI自動回應訊息,2024/04/15,14:23:21,"阿殼歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/04/15,14:23:21,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,敏min,2024/04/15,15:10:53,您好，請問今天預計幾點抵達呢
User,阿殼,2024/04/15,15:27:59,4點
Account,Lyken,2024/04/15,15:31:46,請問是早上有打電話來詢問交通的小姐嗎？
User,阿殼,2024/04/15,15:32:20,嗯嗯
Account,Lyken,2024/04/15,15:33:00,交通上有問題可以在留言給我們喔
User,阿殼,2024/04/15,15:34:36,我開車
Account,Lyken,2024/04/15,15:41:22,好的
Account,Lyken,2024/04/15,22:42:20,請問一下有確定早餐用餐時間了嗎？
User,阿殼,2024/04/15,22:55:50,7:00
User,阿殼,2024/04/15,22:55:55,有人有問我們
User,阿殼,2024/04/15,22:56:00,一個女生
Account,Lyken,2024/04/15,22:56:04,好的
User,阿殼,2024/04/16,11:52:24,我是207我看櫃檯沒人我把房卡放櫃檯
Account,AI自動回應訊息,2024/04/16,11:52:25,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/16,12:06:18,好的
