帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/12,22:08:31,"奕潔感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/12,22:08:31,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/12,22:08:31,貼圖已傳送
User,奕潔4/13,2024/04/12,22:08:45,照片已傳送
Account,AI自動回應訊息,2024/04/12,22:08:46,"奕潔Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,奕潔4/13,2024/04/12,22:08:59,想詢問明天兩間有訂成功嗎？
Account,AI自動回應訊息,2024/04/12,22:08:59,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/12,22:09:47,稍後幫您確認喔
Account,Lyken,2024/04/12,22:12:52,有收到您的預定了喔
Account,Lyken,2024/04/12,22:13:04,明天有預計抵達的時間嗎？
User,奕潔4/13,2024/04/12,22:14:53,應該一兩點左右
User,奕潔4/13,2024/04/12,22:15:05,你們有三人房嗎？
Account,Lyken,2024/04/12,22:15:35,已經有預定了喔
User,奕潔4/13,2024/04/12,22:15:40,或是可以➕床？
Account,Lyken,2024/04/12,22:15:49,無加床服務
Account,Lyken,2024/04/12,22:16:07,下午３點開始入住，謝謝
User,奕潔4/13,2024/04/12,22:16:34,所以你們是還有三人房還是沒有?
Account,Lyken,2024/04/12,22:16:57,三人房已經預訂滿了
