帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/06,18:21:53,"彭感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/06,18:21:53,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/06,18:21:53,貼圖已傳送
User,彭4/4-4/6,2024/04/06,18:22:08,貼圖已傳送
Account,AI自動回應訊息,2024/04/06,18:22:08,貼圖已傳送
Account,敏min,2024/04/06,18:22:16,彭您好，旅棧尋獲您遺留的物品。麻煩提供[地址][收件人姓名][聯絡電話]，旅棧採黑貓貨到付運費方式寄送到您指定地點，謝謝。(truck)
User,彭4/4-4/6,2024/04/06,18:23:39,"彭苡熏
0905836120
台中市神岡區豐洲路758巷67號"
Account,敏min,2024/04/06,18:30:34,好的，這兩天會幫您寄出喔
User,彭4/4-4/6,2024/04/06,18:35:25,貼圖已傳送
Account,AI自動回應訊息,2024/04/06,18:35:26,貼圖已傳送
Account,敏min,2024/04/06,18:43:57,照片已傳送
User,彭4/4-4/6,2024/04/06,18:44:14,對的
Account,敏min,2024/04/06,18:44:20,Ok
User,彭4/4-4/6,2024/04/06,18:46:24,貼圖已傳送
