帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/06,02:49:38,"泓瑋感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/06,02:49:38,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/06,02:49:38,貼圖已傳送
User,泓瑋4/4-4/6,2024/04/06,02:49:46,20215 
Account,AI自動回應訊息,2024/04/06,02:49:46,"泓瑋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,泓瑋4/4-4/6,2024/04/06,02:49:55,我們的卡好像放在車上
Account,AI自動回應訊息,2024/04/06,02:49:56,"泓瑋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,泓瑋4/4-4/6,2024/04/06,02:50:00,我們沒有卡進去
Account,AI自動回應訊息,2024/04/06,02:50:01,"泓瑋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,泓瑋4/4-4/6,2024/04/06,02:50:04,🥲🥲
Account,AI自動回應訊息,2024/04/06,02:50:04,"泓瑋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,龜地灣,2024/04/06,02:50:23,計程車車上嗎
User,泓瑋4/4-4/6,2024/04/06,02:50:34,對的
User,泓瑋4/4-4/6,2024/04/06,02:50:40,可能要明天我們早上過去拿
User,泓瑋4/4-4/6,2024/04/06,02:50:43,7-8.00
Account,龜地灣,2024/04/06,02:50:54,還是要拿回來哦
User,泓瑋4/4-4/6,2024/04/06,02:50:58,好
User,泓瑋4/4-4/6,2024/04/06,02:51:00,不好意思
User,泓瑋4/4-4/6,2024/04/06,02:51:11,現在可以先進去嗎
Account,龜地灣,2024/04/06,02:51:20,一張卡遺失會收取500工本費
User,泓瑋4/4-4/6,2024/04/06,02:51:25,了解
Account,龜地灣,2024/04/06,02:51:39,請問您的房號和入住登記的大名？
User,泓瑋4/4-4/6,2024/04/06,02:51:55,20215 王冠廷
Account,龜地灣,2024/04/06,02:52:18,稍後一下幫您確認
User,泓瑋4/4-4/6,2024/04/06,02:52:23,謝謝🙏 
User,泓瑋4/4-4/6,2024/04/06,02:52:48,真的不好意思麻煩你們
Account,龜地灣,2024/04/06,02:52:54,房內還有房卡嗎？
User,泓瑋4/4-4/6,2024/04/06,02:53:05,有
User,泓瑋4/4-4/6,2024/04/06,02:54:40,那要怎麼辦
User,泓瑋4/4-4/6,2024/04/06,02:55:12,還是說我們要到大廳等你們嗎
User,泓瑋4/4-4/6,2024/04/06,02:56:32,謝謝 解鎖了～ 
Account,Lyken,2024/04/06,03:17:10,好的
User,泓瑋4/4-4/6,2024/04/06,11:40:59,我們有找到卡了 但我們回去換卡可能會11.30🥹但我門房間已經清空了20215 
Account,AI自動回應訊息,2024/04/06,11:40:59,"泓瑋很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,泓瑋4/4-4/6,2024/04/06,11:41:15,還卡
Account,敏min,2024/04/06,11:41:20,好的
User,泓瑋4/4-4/6,2024/04/06,11:41:45,謝謝
Account,AI自動回應訊息,2024/04/06,11:41:45,"泓瑋很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
