帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/04,10:37:07,"妙蓉ℝꪮηɠ♛感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/04,10:37:07,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/04,10:37:07,貼圖已傳送
User,妙蓉ℝꪮηɠ♛,2024/04/04,10:37:15,你好
Account,AI自動回應訊息,2024/04/04,10:37:16,"妙蓉ℝꪮηɠ♛歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/04/04,10:37:16,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,妙蓉ℝꪮηɠ♛,2024/04/04,10:37:33,有可以戴狗的房間買
Account,AI自動回應訊息,2024/04/04,10:37:33,"妙蓉ℝꪮηɠ♛Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,妙蓉ℝꪮηɠ♛,2024/04/04,10:37:38,嗎
Account,AI自動回應訊息,2024/04/04,10:37:39,"妙蓉ℝꪮηɠ♛Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,妙蓉ℝꪮηɠ♛,2024/04/04,10:37:57,我有看到一間高級加大雙人房
Account,AI自動回應訊息,2024/04/04,10:37:58,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/04/04,11:51:33,照片已傳送
User,妙蓉ℝꪮηɠ♛,2024/04/04,11:54:47,今天還有空房嗎
Account,Lyken,2024/04/04,12:02:12,"妙蓉ℝꪮηɠ♛您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
