帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:34
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/03,11:42:35,"Bing感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/04/03,11:42:35,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/04/03,11:42:35,貼圖已傳送
User,Bing4/4,2024/04/03,11:45:34,"Hi 您好
請問4人房的雙床是否能併在一起呢？
因為有小朋友。

如果不行你們是否有嬰兒床可借呢？"
Account,AI自動回應訊息,2024/04/03,11:45:34,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Bing4/4,2024/04/03,11:45:38,照片已傳送
Account,AI自動回應訊息,2024/04/03,11:45:39,"BingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Bing4/4,2024/04/03,11:46:56,謝謝了
Account,AI自動回應訊息,2024/04/03,11:46:57,"Bing很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
Account,敏min,2024/04/03,11:54:13,請問小朋友多大年紀呢
User,Bing4/4,2024/04/03,11:59:27,一個6個月，一個2歲多
User,Bing4/4,2024/04/03,12:27:16,對惹  飯店應該沒什麼事吧，明天可以正常前往嗎？
Account,敏min,2024/04/03,12:59:35,您是指地震嗎?地震沒有問題喔
Account,敏min,2024/04/03,13:01:28,嬰兒床會幫您準備，另外有備註嬰兒澡盆和消毒鍋會幫您一起準備喔
User,Bing4/4,2024/04/03,13:02:02,Ok 大感謝👍
Account,敏min,2024/04/03,13:02:08,謝謝您
