帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/25,22:17:40,"Mr.Liu感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/25,22:17:40,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/25,22:17:40,貼圖已傳送
User,Mr.Liu,2024/03/25,22:17:49,你好
Account,AI自動回應訊息,2024/03/25,22:17:49,"Mr.Liu歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/25,22:17:49,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,Mr.Liu,2024/03/25,22:18:03,想詢問4/4號有無房間
Account,AI自動回應訊息,2024/03/25,22:18:04,"您可以立即詢問以下問題，例如：
・我要預約
・訂單查詢
・營業時間
・店家地址"
Account,Lyken,2024/03/25,22:18:44,"Mr.Liu您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,Mr.Liu,2024/03/25,22:19:56,最少四人房嗎
Account,Lyken,2024/03/25,22:28:47,目前剩餘房間都在官網了喔
