帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,🦘Moira,2025/10/23,02:52:11,"你好 請問10/25還有雙人房嗎？

我需要一間雙人房
2大人+2隻小狗🥹"
User,🦘Moira,2025/10/23,13:51:33,請問還有嗎 謝謝(感謝)
Account,May  Lee,2025/10/23,13:55:28,10/25還可訂房，請上龜地灣旅棧官網預訂，可以帶寵物，要收取寵物清潔費。
Account,May  Lee,2025/10/23,13:56:47,https://chat.line.biz/Uea2f2f6f3e4dd9243fce582e26b399eb/chat/2U691969fa15f473d1bbe6f015f0abf7bb?messageId=583320992702005538
Account,May  Lee,2025/10/23,14:00:24,照片已傳送
User,🦘Moira,2025/10/23,14:06:52,好的 如果兩隻入住，是收取一次$800嗎
Account,May  Lee,2025/10/23,14:07:52,是的
User,🦘Moira,2025/10/23,14:08:23,"好～沒問題
去網站訂房嗎"
User,🦘Moira,2025/10/23,14:08:29,上面連結沒辦法點擊
Account,May  Lee,2025/10/23,14:08:54,請自行搜尋
