帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/05,10:39:29,"Zero感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/05,10:39:29,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/05,10:39:29,貼圖已傳送
User,Zero4/19,2024/03/05,10:41:14,"我想請問..我們有五人...
要訂4月19日住一晚
可以住在同一間...
應該比較適合訂那個房型...
標準四人房可以加床位嗎?"
Account,AI自動回應訊息,2024/03/05,10:41:15,"ZeroSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Zero4/19,2024/03/05,10:46:25,"請您有空再回覆...
謝謝"
Account,AI自動回應訊息,2024/03/05,10:46:26,"ZeroSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/03/05,12:01:31,沒有加床服務噢
Account,Lyken,2024/03/05,12:01:53,您預定一間雙人和一間三人房即可
User,Zero4/19,2024/03/05,12:18:54,所以也沒有六人房?
User,Zero4/19,2024/03/05,12:23:17,照片已傳送
User,Zero4/19,2024/03/05,12:25:21,"請問...我訂四人房然後住五人...
早餐也是五人份...可以嗎?"
User,Zero4/19,2024/03/05,12:27:24,照片已傳送
User,Zero4/19,2024/03/05,12:35:20,"訂單編號	
RMPGP240062282"
User,Zero4/19,2024/03/05,12:35:41,"我已經刷卡了...付訂金了..
"
User,Zero4/19,2024/03/05,12:36:09,"若標準房無法住五人...再麻煩告知
感謝"
User,Zero4/19,2024/03/05,12:37:34,照片已傳送
Account,敏min,2024/03/06,19:04:15,我們以房型計價，備品早餐都是供應四份，早餐若要加購350/位
User,Zero4/19,2024/03/25,15:39:56,"請問這間四人房若無法住五人
那我改訂三人房+兩人房
訂金是否要多加..."
Account,AI自動回應訊息,2024/03/25,15:39:56,"ZeroSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Zero4/19,2024/03/25,15:40:04,沒問題
Account,AI自動回應訊息,2024/03/25,15:40:04,"Zero很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,Zero4/19,2024/03/25,15:42:28,"訂單編號 
RMPGP240062282
我們有五人...會自行開車前往...
這間四人房若無法五人住..
那我就改訂三人房+兩人房...可以都是單人床嗎?
早上有一位是吃早素....(八十多歳長者...)
應該有電梯吧

請您有空再回覆...
若要加刷訂金...再麻煩告知
謝謝"
Account,敏min,2024/03/25,15:42:46,您好，4/19 當天房價如下
Account,敏min,2024/03/25,15:42:50,照片已傳送
Account,敏min,2024/03/25,15:43:04,若有確認要更改再與我們告知
Account,敏min,2024/03/25,15:44:03,我們有電梯，餐食和床型可以幫您備註
User,Zero4/19,2024/03/25,15:46:17,"好...我改成三人房+兩人房各一間(最好都是單人床)
一位是吃早素
停車應該方便吧...
請問需要加刷訂金嗎?
"
Account,敏min,2024/03/25,15:46:42,★本旅棧設有室內及室外停車位(無法指定，以當天安排為主)，請先至櫃檯辦理入住手續後再行停車，屆時服務人員會引導您停車方式。
User,Zero4/19,2024/03/25,15:46:55,好的..謝謝您
Account,敏min,2024/03/25,15:47:27,不用加刷訂金喔，尾款入住時一起結清即可，房型更改完後會再傳確認單給您
User,Zero4/19,2024/03/25,15:47:40,感謝您的協助
Account,敏min,2024/03/25,15:52:50,照片已傳送
Account,敏min,2024/03/25,15:53:15,以修改完成，請確認資料是否有誤
Account,敏min,2024/03/25,15:53:17,謝謝您
User,Zero4/19,2024/03/25,15:56:46,"資料無誤
謝謝"
Account,AI自動回應訊息,2024/03/25,15:56:47,"Zero很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
