帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/06,18:33:04,"欣穎🐰 Singing感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/06,18:33:04,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/06,18:33:04,貼圖已傳送
User,欣穎🐰 Singing3/16,2024/03/06,18:35:03,"請問您～我們是公家機關要出差辦活動，正在找車城的住宿，因為公務人員出差報支的上限是2000元/天

想請問您能否提供2000元的出差公務房嗎？"
Account,AI自動回應訊息,2024/03/06,18:35:03,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,欣穎🐰 Singing3/16,2024/03/06,18:35:34,"需求時間：3/16（六）
數量：約15間（可能還會再調整）"
Account,AI自動回應訊息,2024/03/06,18:35:34,"欣穎🐰 SingingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/03/06,19:06:37,您號，可否提供單位名稱及名片，以及所需房型以及入住人數
Account,敏min,2024/03/06,19:06:55,您好
User,欣穎🐰 Singing3/16,2024/03/06,19:08:20,"機關名稱：
林業及自然保育署 屏東分署

聯絡人：謝欣穎小姐，0928421207、（08）7236941*223


房型：一人一間，不限房型
人數：預估15人"
User,欣穎🐰 Singing3/16,2024/03/06,19:08:56,不好意思我沒有名片，拍工作證給您
User,欣穎🐰 Singing3/16,2024/03/06,19:09:10,照片已傳送
Account,敏min,2024/03/06,19:16:00,幫您確認過了，目前還有空房，出差公務房2000/位可以喔，待您確認後在與我們告知，謝謝您
User,欣穎🐰 Singing3/16,2024/03/06,19:18:27,請問數量最多可以預訂到幾間呢？
User,欣穎🐰 Singing3/16,2024/03/06,19:19:10,我們的需求是一位同仁一間，單價2000元（因核銷上限是2000元(cony distressed)）
Account,Lyken,2024/03/06,19:19:49,您需要幾間，我們這裡看一下夠不夠
User,欣穎🐰 Singing3/16,2024/03/06,19:21:38,如果總數40間 是有可能的嗎？
Account,Lyken,2024/03/06,19:22:19,應該是可以
Account,Lyken,2024/03/06,19:23:33,你們要先能確定我們才能保留
Account,Lyken,2024/03/06,19:23:53,因為間數比較多，也需要有訂金
User,欣穎🐰 Singing3/16,2024/03/06,19:25:29,瞭解 那我需要確認一下再跟您回覆
User,欣穎🐰 Singing3/16,2024/03/06,19:25:38,謝謝～
Account,敏min,2024/03/06,19:29:20,好的，目前房間尚未保留若有確認再麻煩盡快告知，會在幫您確認間數是否足夠，謝謝
User,欣穎🐰 Singing3/16,2024/03/06,19:39:42,好的～我明天跟同事及主管確認後回覆您，謝謝
Account,Lyken,2024/03/06,19:40:07,好的
Account,Lyken,2024/03/06,19:40:10,貼圖已傳送
User,欣穎🐰 Singing3/16,2024/03/07,12:49:18,"您好，3/16我需要訂15間公務房
房型：一人一間，不限房型，費用2000元"
Account,AI自動回應訊息,2024/03/07,12:49:19,"欣穎🐰 SingingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/03/07,12:49:42,好的
User,欣穎🐰 Singing3/16,2024/03/07,12:50:23,"另外我想請問，因有一位同仁要帶小孩去住，如果加價的話，費用是多少呢?
這位同仁會總共是 2大2小 去住宿，小孩一個6歲，一個3歲"
Account,Lyken,2024/03/07,12:51:04,他們需要幾人房？
Account,Lyken,2024/03/07,12:51:14,四人房可以嗎？
User,欣穎🐰 Singing3/16,2024/03/07,12:51:43,"雙人房+床
或是四人房
這樣費用分別是多少呢?

我轉達詢問她要哪一種"
Account,Lyken,2024/03/07,12:51:57,沒有加床服務
User,欣穎🐰 Singing3/16,2024/03/07,12:52:14,好的 那4人房的費用是多少呢?
Account,Lyken,2024/03/07,12:52:56,"3人房2600
4人房3100
都是優惠價"
User,欣穎🐰 Singing3/16,2024/03/07,12:56:38,好的 我問完跟您回復
User,欣穎🐰 Singing3/16,2024/03/07,13:17:34,請問這是總價對嗎
Account,敏min,2024/03/07,13:18:12,沒錯喔，一間的價格
Account,Lyken,2024/03/07,16:38:21,再麻煩提供我們名單，還有支付定金，因為你們會分別付款，所以訂金可以一個代表先用信用卡預授權。謝謝
User,欣穎🐰 Singing3/16,2024/03/07,16:38:47,好的，請問名單只需要名子就好嗎?還是需要其他資訊?
Account,Lyken,2024/03/07,16:39:07,名字就好就好
User,欣穎🐰 Singing3/16,2024/03/07,16:40:55,好的
