帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/14,19:50:56,"J_賀凱🏄感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/14,19:50:56,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/14,19:50:56,貼圖已傳送
User,J_賀凱🏄3/16,2024/03/14,19:51:57,照片已傳送
Account,AI自動回應訊息,2024/03/14,19:51:57,"J_賀凱🏄Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J_賀凱🏄3/16,2024/03/14,19:52:05,照片已傳送
Account,AI自動回應訊息,2024/03/14,19:52:05,"J_賀凱🏄Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J_賀凱🏄3/16,2024/03/14,19:54:28,"您好

剛有電話聯繫貴司旅棧櫃台

敘述狀況如下:
1.3/14上午有於agoda平台訂房，但agoda平台無法打統一編號(因此次為商業出差)，故於平台內管理預定內有寫豁免取消費用，需貴旅棧同意，請協助於agoda平台上取消
"
Account,AI自動回應訊息,2024/03/14,19:54:28,"J_賀凱🏄很抱歉
我們無法理解您的疑問，請換個方式再問一次
或請您稍候，將立刻有專人為您解答(moon oops)

訂單問題可以先提供訂單編號
以利客服人員作業縮減等待時間(moon big smile)"
User,J_賀凱🏄3/16,2024/03/14,19:56:34,"您好

剛有電話聯繫貴司旅棧櫃台

敘述狀況如下:

1.3/14上午有於agoda平台訂房，但agoda平台無法打統一編號(因此次為商業出差)，故於平台內管理預定內有寫豁免取消費用，需貴旅棧同意，請協助於agoda平台上取消

2.若可協助取消，我們需要再重新預訂房間，3/16總共為3間雙人房，1間3人房(3小床)

3.3/16我們會於晚上09:00~10:00左右到達，請再協助幫忙

以上，謝謝"
Account,AI自動回應訊息,2024/03/14,19:56:35,"J_賀凱🏄很抱歉
我們無法理解您的疑問，請換個方式再問一次
或請您稍候，將立刻有專人為您解答(moon oops)

訂單問題可以先提供訂單編號
以利客服人員作業縮減等待時間(moon big smile)"
User,J_賀凱🏄3/16,2024/03/15,11:41:39,早安
Account,AI自動回應訊息,2024/03/15,11:41:40,"J_賀凱🏄歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/15,11:41:40,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
