帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/04,11:09:34,"正感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/04,11:09:34,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/04,11:09:34,貼圖已傳送
User,正3/16,2024/03/04,11:09:40,你好
Account,AI自動回應訊息,2024/03/04,11:09:41,"正歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/04,11:09:41,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,Lyken,2024/03/04,11:10:01,您好
User,正3/16,2024/03/04,11:10:04,我想請教，確認3/8（五）我有沒有訂房成功
User,正3/16,2024/03/04,11:10:21,3/8～3/10二晚
User,正3/16,2024/03/04,11:10:36,三人房（單人床*3）
Account,Lyken,2024/03/04,11:11:26,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,正3/16,2024/03/04,11:14:58,照片已傳送
Account,AI自動回應訊息,2024/03/04,11:14:59,"正Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,正3/16,2024/03/04,11:15:28,照片已傳送
Account,AI自動回應訊息,2024/03/04,11:15:29,"正Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/03/04,11:16:58,有收到您的預定了
User,正3/16,2024/03/04,11:17:02,"有訂房成功？
是不是不包含早餐？"
Account,AI自動回應訊息,2024/03/04,11:17:02,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/03/04,11:17:17,不包含早餐
User,正3/16,2024/03/04,11:17:20,好的，感謝你
Account,AI自動回應訊息,2024/03/04,11:17:20,"正很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,正3/16,2024/03/04,11:17:45,當天大概下午三點可以辦理入房？
Account,AI自動回應訊息,2024/03/04,11:17:46,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/03/04,11:17:59,是的
User,正3/16,2024/03/04,11:18:06,我們大概下午五點多才會過去
Account,AI自動回應訊息,2024/03/04,11:18:06,"正Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,正3/16,2024/03/04,11:18:11,好的謝謝
Account,AI自動回應訊息,2024/03/04,11:18:12,"正很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,正3/16,2024/03/11,00:03:03,照片已傳送
Account,AI自動回應訊息,2024/03/11,00:03:03,"正Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,正3/16,2024/03/11,00:03:37,"我想請教有成功訂房？
3/16（六）一晚"
Account,AI自動回應訊息,2024/03/11,00:03:38,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/03/11,12:28:43,有收到預定喔
Account,敏min,2024/03/11,12:30:36,貼圖已傳送
User,正3/16,2024/03/11,12:31:11,貼圖已傳送
Account,AI自動回應訊息,2024/03/11,12:31:12,貼圖已傳送
User,正3/16,2024/03/12,10:57:54,哈囉
Account,AI自動回應訊息,2024/03/12,10:57:55,"正歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/12,10:57:55,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,正3/16,2024/03/12,10:58:10,照片已傳送
Account,AI自動回應訊息,2024/03/12,10:58:11,"正Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,正3/16,2024/03/12,10:58:22,這天訂的房間可以改時間？
