帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/16,00:13:32,"Kenneth感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/16,00:13:32,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/16,00:13:32,貼圖已傳送
User,Kenneth3/16,2024/03/16,00:17:55,你好，我有Agoda 預約了2晚客房（3月16至18日)，因為我們是兩個男生，請問可以幫忙安排兩張單人床的房間嗎？ 訂房人是Steven 黎國基
Account,AI自動回應訊息,2024/03/16,00:17:56,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Kenneth3/16,2024/03/16,00:18:35,訂房編號：1176238372
Account,AI自動回應訊息,2024/03/16,00:18:36,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Kenneth3/16,2024/03/16,00:19:50,我們預訂的時候，是選了兩張單人床的，謝謝你安🙏
Account,AI自動回應訊息,2024/03/16,00:19:50,"Kenneth很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,Kenneth3/16,2024/03/16,00:21:09,可以確認一下安排嗎？
Account,AI自動回應訊息,2024/03/16,00:21:10,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/03/16,11:13:15,好的請問今天預計幾點抵達呢
User,Kenneth3/16,2024/03/16,11:13:54,太概五點
Account,敏min,2024/03/16,11:14:01,好的
Account,敏min,2024/03/16,11:38:48,請問是開車前來嗎
User,Kenneth3/16,2024/03/16,15:21:14,對
Account,AI自動回應訊息,2024/03/16,15:21:15,"KennethSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Kenneth3/16,2024/03/16,15:30:41,請問有單人床？
Account,AI自動回應訊息,2024/03/16,15:30:42,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
