帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/12,19:05:25,"邱致朋感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/12,19:05:25,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/12,19:05:25,貼圖已傳送
User,朋,2024/03/12,19:05:43,貼圖已傳送
Account,AI自動回應訊息,2024/03/12,19:05:43,貼圖已傳送
User,朋,2024/03/12,19:06:11,請問有兩間房嗎一大床的
Account,AI自動回應訊息,2024/03/12,19:06:12,"邱致朋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/03/12,19:08:09,"邱致朋您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,敏min,2024/03/12,19:15:39,請問是要預訂哪一天呢
User,朋,2024/03/12,19:15:50,今天
User,朋,2024/03/12,19:15:53,到明天
User,朋,2024/03/12,19:16:09,兩房
Account,敏min,2024/03/12,19:16:36,今天還有喔，標準雙人房1間2680元，請問大約幾點抵達呢
User,朋,2024/03/12,19:17:36,不用了 謝謝
User,朋,2024/03/12,19:17:45,超出我們預算謝謝
Account,敏min,2024/03/12,19:17:49,貼圖已傳送
User,朋,2024/03/12,19:18:41,那你們網路上是1000出頭是那種房
Account,AI自動回應訊息,2024/03/12,19:18:41,"邱致朋歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/12,19:18:41,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,敏min,2024/03/12,19:20:07,哪一個網站呢
User,朋,2024/03/12,19:20:30,照片已傳送
Account,AI自動回應訊息,2024/03/12,19:20:34,"邱致朋Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/03/12,19:22:27,那個網站我們不清楚喔，我們沒有上架那個網站，應該是其他訂房平台跟他們合作的
User,朋,2024/03/12,19:24:44,ok 
Account,AI自動回應訊息,2024/03/12,19:24:45,"邱致朋很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
