帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Joanna💗3/8,2024/03/06,19:47:57,"請問一下 3/8入住3/10退房
共3天2夜
4人房 不要早餐房價多少？謝謝"
Account,AI自動回應訊息,2024/03/06,19:47:58,"Joanna💗Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/03/06,19:48:34,"Joanna💗您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2024/03/06,19:48:57,我們只有含早餐的預定喔
User,Joanna💗3/8,2024/03/06,19:49:08,好 謝謝
User,Joanna💗3/8,2024/03/07,21:53:51,您好 我有訂房 可以幫我在確認一下嗎？在Agoda的網站
Account,AI自動回應訊息,2024/03/07,21:53:52,"Joanna💗Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Joanna💗3/8,2024/03/07,21:54:16,訂單1170092200
Account,AI自動回應訊息,2024/03/07,21:54:17,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Joanna💗3/8,2024/03/08,12:19:42,您好 請問一下訂單有確認到了嗎？
Account,AI自動回應訊息,2024/03/08,12:19:42,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Joanna💗3/8,2024/03/08,12:24:07,"您好，如果有確認到訂房
可否請幫忙
1.兩張床要合併
2.要殘障的洗澡椅ㄧ張謝謝
3.嬰兒澡盆
另外我到達時間已經是晚上20:00～21:30區間，謝謝"
Account,AI自動回應訊息,2024/03/08,12:24:08,"Joanna💗很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
Account,敏min,2024/03/08,13:07:45,有收到訂單囉
Account,敏min,2024/03/08,13:13:27,已收到您的需求
User,Joanna💗3/8,2024/03/08,13:49:17,好的 謝謝您
