帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/03,12:41:59,"魯魯魚感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/03,12:41:59,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/03,12:41:59,貼圖已傳送
User,魯魯魚3/2,2024/03/03,12:42:27,你好 我是今天退房310的旅客
Account,AI自動回應訊息,2024/03/03,12:42:28,"魯魯魚歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/03,12:42:28,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,Lyken,2024/03/03,12:43:13,你好
User,魯魯魚3/2,2024/03/03,12:43:17,冰箱內的杯子要麻煩協助郵寄
Account,敏min,2024/03/03,12:43:37,您好是310嗎
Account,Lyken,2024/03/03,12:43:45,魯魯魚您好，旅棧尋獲您遺留的物品。麻煩提供[地址][收件人姓名][聯絡電話]，旅棧採黑貓貨到付運費方式寄送到您指定地點，謝謝。(truck)
Account,敏min,2024/03/03,12:44:18,幫您先找一下喔，稍後回覆您
User,魯魯魚3/2,2024/03/03,12:44:34,好的
Account,敏min,2024/03/03,12:47:53,有找到喔
Account,敏min,2024/03/03,12:48:08,麻煩提供[地址][收件人姓名][聯絡電話]，旅棧採黑貓貨到付運費方式寄送到您指定地點，謝謝。(truck)
User,魯魯魚3/2,2024/03/03,13:09:12,"高雄市三民區鼎文街72號6樓
陳如怡
0931909748"
User,魯魯魚3/2,2024/03/03,13:09:17,謝謝
Account,敏min,2024/03/06,20:01:09,已幫您寄出，再麻煩這幾天留意包裹喔
User,魯魯魚3/2,2024/03/06,21:57:18,貼圖已傳送
Account,AI自動回應訊息,2024/03/06,21:57:19,貼圖已傳送
