帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/03,17:34:18,"Swimminglemons感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/03/03,17:34:18,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/03/03,17:34:18,貼圖已傳送
User,Swimminglemons#309,2024/03/03,17:35:44,Hi!
Account,AI自動回應訊息,2024/03/03,17:35:45,"Swimminglemons歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/03/03,17:35:45,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,Lyken,2024/03/03,17:52:05,https://fullfenblog.tw/huige-sashimi/
Account,Lyken,2024/03/03,17:52:31,這間吃生魚片不用跑太遠，之後就可以去夜市走走
Account,Lyken,2024/03/03,17:53:43,https://www.amazing-pingtung.com/ptlsf?fbclid=IwAR0DlQFoJN1z1m8w2yWzGKBbU8gQHldLA1W__4xw4ZwHc2XMldU9gTBuCmY
Account,Lyken,2024/03/03,17:54:49,https://travel.yam.com/article/120454
Account,Lyken,2024/03/03,17:55:20,另外兩個地方都在我們附近，明後天可以去走走
User,Swimminglemons#309,2024/03/03,18:01:15,好的！ 謝謝
User,Swimminglemons#309,2024/03/03,18:01:45,如果我們如果我們需要枕頭的話，要去哪裡拿？
Account,Lyken,2024/03/03,18:09:29,需要加幾顆？
User,Swimminglemons#309,2024/03/03,18:10:09,能加3個嗎？
Account,Lyken,2024/03/03,18:10:21,好
User,Swimminglemons#309,2024/03/03,18:10:35,謝謝
Account,Lyken,2024/03/03,18:11:57,貼圖已傳送
User,Swimminglemons#309,2024/03/03,20:36:03,請問早餐是幾點開始啊？
Account,AI自動回應訊息,2024/03/03,20:36:03,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Swimminglemons#309,2024/03/04,08:14:21,我把房間卡放在櫃檯。因為今天我們三個人是各自出去。
Account,AI自動回應訊息,2024/03/04,08:14:21,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Swimminglemons#309,2024/03/04,08:15:08,照片已傳送
Account,AI自動回應訊息,2024/03/04,08:15:09,"SwimminglemonsSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
