帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/24,16:04:48,"💬Ching感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/24,16:04:48,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/24,16:04:48,貼圖已傳送
User,💬Ching2/24,2024/02/24,16:04:55,您好
Account,AI自動回應訊息,2024/02/24,16:04:56,"💬Ching歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/02/24,16:04:56,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,💬Ching2/24,2024/02/24,16:05:38,照片已傳送
Account,AI自動回應訊息,2024/02/24,16:05:39,"💬ChingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,💬Ching2/24,2024/02/24,16:05:47,需要嬰兒消毒鍋
Account,AI自動回應訊息,2024/02/24,16:05:47,"💬ChingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/02/24,16:09:49,好的，會幫您直接放房內喔
Account,敏min,2024/02/24,16:09:59,請問大概幾點抵達呢
Account,敏min,2024/02/24,16:10:19,今天三人房剩餘床型為3張單人床喔
User,💬Ching2/24,2024/02/24,16:13:17,請問三張床可以併嗎？
Account,敏min,2024/02/24,16:13:41,可以自行併床喔
User,💬Ching2/24,2024/02/24,16:13:45,好的
User,💬Ching2/24,2024/02/24,16:13:52,現在過去大約半小時會到
Account,AI自動回應訊息,2024/02/24,16:13:53,"💬ChingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/02/24,16:14:17,好的，直接過來就可以了喔
User,💬Ching2/24,2024/02/24,16:33:14,您好，我們改先去吃東西，吃完再過去
Account,AI自動回應訊息,2024/02/24,16:33:15,"💬ChingSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,💬Ching2/24,2024/02/24,20:10:55,請問你們有飲水機嗎？
Account,AI自動回應訊息,2024/02/24,20:10:56,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/02/24,20:11:17,一樓餐廳有飲水機喔
