帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,FLIR-Kevin3/30,2024/01/05,19:42:56,請幫我確認是否訂房成功？
Account,AI自動回應訊息,2024/01/05,19:42:56,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,FLIR-Kevin3/30,2024/01/05,19:43:00,照片已傳送
Account,AI自動回應訊息,2024/01/05,19:43:02,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/01/05,20:07:30,這邊有收到您的預定喔，謝謝您
User,FLIR-Kevin3/30,2024/01/08,12:09:38,貼圖已傳送
Account,AI自動回應訊息,2024/01/08,12:09:38,貼圖已傳送
User,FLIR-Kevin3/30,2024/01/12,10:55:49,你好
Account,AI自動回應訊息,2024/01/12,10:55:49,"FLIR-Kevin 楊歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/01/12,10:55:49,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,FLIR-Kevin3/30,2024/01/12,10:56:29,我用訂房編號去查詢訂單
Account,AI自動回應訊息,2024/01/12,10:56:29,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,FLIR-Kevin3/30,2024/01/12,10:56:39,沒看到我的訂房資訊耶
Account,AI自動回應訊息,2024/01/12,10:56:40,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,FLIR-Kevin3/30,2024/01/12,10:57:08,照片已傳送
Account,AI自動回應訊息,2024/01/12,10:57:09,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/01/12,10:57:32,RMPGP240004819
Account,AI自動回應訊息,2024/01/12,10:57:33,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,龜地灣,2024/01/12,11:06:11,可以改別的條件搜尋看看喔
User,FLIR-Kevin3/30,2024/02/18,00:58:18,還是沒有耶
Account,AI自動回應訊息,2024/02/18,00:58:19,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,00:58:56,照片已傳送
Account,AI自動回應訊息,2024/02/18,00:58:56,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,00:59:05,RMPGP240004819
Account,AI自動回應訊息,2024/02/18,00:59:06,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:01:00,照片已傳送
Account,AI自動回應訊息,2024/02/18,01:01:01,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:03:01,我訂金也匯了，到底....
Account,AI自動回應訊息,2024/02/18,01:03:02,"FLIR-Kevin 楊很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,FLIR-Kevin3/30,2024/02/18,01:04:52,照片已傳送
Account,AI自動回應訊息,2024/02/18,01:04:53,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:16:22,不好意思可以退還我訂金嗎?
Account,AI自動回應訊息,2024/02/18,01:16:22,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:40:00,RMPGP240004819
Account,AI自動回應訊息,2024/02/18,01:40:01,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:57:40,照片已傳送
Account,AI自動回應訊息,2024/02/18,01:57:40,"FLIR-Kevin 楊Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,FLIR-Kevin3/30,2024/02/18,01:58:45,不好意思，麻煩請協助退費
