帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/19,10:29:18,"Adela感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/19,10:29:18,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/19,10:29:18,貼圖已傳送
User,Adela2/24,2024/02/19,10:30:17,"你好
我想請問
我有透過agoda訂房
可否確認一下~"
Account,AI自動回應訊息,2024/02/19,10:30:17,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Adela2/24,2024/02/19,10:30:57,照片已傳送
Account,AI自動回應訊息,2024/02/19,10:30:58,"AdelaSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/02/19,13:17:43,您好這邊有收到您的訂單喔
User,Adela2/24,2024/02/19,13:24:09,"我實際入住是2大2小(6y+10y)
我看訂單備註是2張單人床
但我實際需要的是2張特大床ㄟ"
Account,AI自動回應訊息,2024/02/19,13:24:10,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/02/19,13:25:38,您預定的為親子家庭房
Account,敏min,2024/02/19,13:25:55,沒有2張單人床的床型，都是大床喔
User,Adela2/24,2024/02/19,13:26:09,那就好
User,Adela2/24,2024/02/19,13:26:18,早餐加購是現場付費嗎
Account,敏min,2024/02/19,13:26:55,是的，早餐一位350/元
User,Adela2/24,2024/02/19,13:27:02,貼圖已傳送
Account,敏min,2024/02/19,13:27:10,入住時告知需加購即可
User,Adela2/24,2024/02/19,13:27:51,貼圖已傳送
