帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/14,00:42:56,"ㄏㄠˊ感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/14,00:42:56,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/14,00:42:56,貼圖已傳送
User,ㄏㄠˊ,2024/02/14,00:47:25,您好 標準雙人房 一大床的還有嗎
Account,AI自動回應訊息,2024/02/14,00:47:26,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/02/14,00:49:40,請問入住日期？
User,ㄏㄠˊ,2024/02/14,01:00:46,2/15
Account,Lyken,2024/02/14,01:01:20,"ㄏㄠˊ您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,Lyken,2024/02/14,01:01:26,有的
Account,Lyken,2024/02/14,01:01:42,官網直接預訂備註留言即可
User,ㄏㄠˊ,2024/02/14,01:36:50,照片已傳送
Account,AI自動回應訊息,2024/02/14,01:36:51,"ㄏㄠˊSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,ㄏㄠˊ,2024/02/14,01:37:20,不好意思我要更改日期2/14
Account,AI自動回應訊息,2024/02/14,01:37:21,"ㄏㄠˊSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,ㄏㄠˊ,2024/02/14,01:56:12,照片已傳送
Account,AI自動回應訊息,2024/02/14,01:56:13,"ㄏㄠˊSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,ㄏㄠˊ,2024/02/14,01:56:29,此筆取消
Account,AI自動回應訊息,2024/02/14,01:56:29,"ㄏㄠˊSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/02/14,02:12:23,已處理完畢
User,ㄏㄠˊ,2024/02/14,02:14:31,有收到通知了 感謝
Account,AI自動回應訊息,2024/02/14,02:14:32,"ㄏㄠˊ很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,ㄏㄠˊ,2024/02/14,02:14:43,照片已傳送
Account,AI自動回應訊息,2024/02/14,02:14:44,"ㄏㄠˊSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,ㄏㄠˊ,2024/02/14,02:14:54,此筆是有預定成功的對吧
Account,AI自動回應訊息,2024/02/14,02:14:55,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/02/14,02:18:49,有
Account,敏min,2024/02/14,11:57:22,請問今天預計幾點抵達呢
User,ㄏㄠˊ,2024/02/14,12:09:14,大約19:00前
Account,敏min,2024/02/14,12:25:19,好的
