帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/04,12:07:58,"Edward.Liao感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/04,12:07:58,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/04,12:07:58,貼圖已傳送
User,Edward.Liao2/12,2024/02/04,12:08:16,已取消通話
Account,自動回應訊息,2024/02/04,12:08:16,"很抱歉，我們目前無法接聽來電。
請改傳訊息直接告知我們需要協助您的地方。
※官方帳號無法直接發話給您，敬請見諒。"
User,Edward.Liao2/12,2024/02/04,12:13:44,確認訂房資訊
Account,AI自動回應訊息,2024/02/04,12:13:45,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Edward.Liao2/12,2024/02/04,12:15:35,訂單編號：1134840608
Account,AI自動回應訊息,2024/02/04,12:15:36,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,Edward.Liao2/12,2024/02/04,12:15:59,手機：0928893892
Account,AI自動回應訊息,2024/02/04,12:15:59,"Edward.LiaoSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Edward.Liao2/12,2024/02/04,13:03:36,訂單編號：1134840608
Account,敏min,2024/02/04,13:03:39,不好意思，您傳的訂單編號沒有查詢到喔，是否有誤呢
User,Edward.Liao2/12,2024/02/04,13:04:15,1129475612
User,Edward.Liao2/12,2024/02/04,13:04:28,廖志銘
User,Edward.Liao2/12,2024/02/04,13:04:45,訂單編號：1129475612
Account,敏min,2024/02/04,13:04:55,有的這筆有查詢到喔
User,Edward.Liao2/12,2024/02/04,13:05:14,4人房间
User,Edward.Liao2/12,2024/02/04,13:05:32,2／12 - 2／13
Account,敏min,2024/02/04,13:05:37,是預定2/12 入住一晚一間經典四人房
Account,敏min,2024/02/04,13:05:51,不含早餐的
Account,敏min,2024/02/04,13:06:53,不好意思
Account,敏min,2024/02/04,13:06:57,是兩間經典四人房
User,Edward.Liao2/12,2024/02/04,13:07:12,我嚇一跳
Account,敏min,2024/02/04,13:07:40,貼圖已傳送
User,Edward.Liao2/12,2024/02/04,13:07:40,以為怎麼是一間
User,Edward.Liao2/12,2024/02/04,13:07:48,謝謝
User,Edward.Liao2/12,2024/02/04,13:08:10,可以check in 時加購
User,Edward.Liao2/12,2024/02/04,13:08:19,早餐
User,Edward.Liao2/12,2024/02/04,13:08:24,嗎？
Account,敏min,2024/02/04,13:08:40,不會的，有問題在跟我們告知喔謝謝您，我們電話要在檢修一下，講一下會斷掉
Account,敏min,2024/02/04,13:08:45,可以的
User,Edward.Liao2/12,2024/02/04,13:08:56,貼圖已傳送
User,Edward.Liao2/12,2024/02/12,17:23:19,Hi
Account,AI自動回應訊息,2024/02/12,17:23:20,"Edward.Liao歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/02/12,17:23:20,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,敏min,2024/02/12,17:34:29,您好
