帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,黃利蛾🌸2/12,2024/01/15,20:23:10,貼圖已傳送
Account,AI自動回應訊息,2024/01/15,20:23:11,貼圖已傳送
User,黃利蛾🌸2/12,2024/01/15,20:23:32,您好想確認訂單是否成功下單
Account,AI自動回應訊息,2024/01/15,20:23:33,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,黃利蛾🌸2/12,2024/01/15,20:24:01,訂單編號RMPGP240015014
Account,AI自動回應訊息,2024/01/15,20:24:02,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/01/15,20:38:08,有收到您的預定了喔
User,黃利蛾🌸2/12,2024/01/15,20:39:16,請問能攜帶寵物嗎
Account,Lyken,2024/01/15,20:43:28,照片已傳送
User,黃利蛾🌸2/12,2024/01/15,20:45:35,好的
User,黃利蛾🌸2/12,2024/01/15,20:45:59,請問無障礙房能指定四張床嗎
Account,龜地灣,2024/01/15,20:46:14,好的
User,黃利蛾🌸2/12,2024/01/15,21:22:41,請問如果還要多一間三人也是要線上訂嗎
Account,Lyken,2024/01/15,21:25:23,是的
User,黃利蛾🌸2/12,2024/01/15,21:36:11,貼圖已傳送
Account,Lyken,2024/01/15,21:36:25,貼圖已傳送
User,黃利蛾🌸2/12,2024/01/16,08:44:29,貼圖已傳送
Account,AI自動回應訊息,2024/01/16,08:44:30,貼圖已傳送
User,黃利蛾🌸2/12,2024/01/16,08:44:36,照片已傳送
Account,AI自動回應訊息,2024/01/16,08:44:37,"黃利蛾🌸Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,黃利蛾🌸2/12,2024/01/16,08:44:50,請問線上怎麼看訂單？
Account,AI自動回應訊息,2024/01/16,08:44:50,"黃利蛾🌸Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/01/16,08:48:20,wrs.ec-hotel.net/admin4webhotel/webhotel/0818/admin/order_main.action
Account,Lyken,2024/01/16,08:48:55,從這裡進入查看喔
User,黃利蛾🌸2/12,2024/01/16,08:50:41,照片已傳送
Account,AI自動回應訊息,2024/01/16,08:50:42,"黃利蛾🌸Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,黃利蛾🌸2/12,2024/01/16,08:50:44,公司？
Account,AI自動回應訊息,2024/01/16,08:50:44,"黃利蛾🌸很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
Account,Lyken,2024/01/16,08:53:25,https://tlathena.ec-hotel.net/webhotel-v4/0818/orderSearch?_rand=rrup2hnttn
Account,Lyken,2024/01/16,08:53:44,抱歉傳錯
User,黃利蛾🌸2/12,2024/01/16,08:57:52,好的
User,黃利蛾🌸2/12,2024/01/16,09:48:46,可以了
User,黃利蛾🌸2/12,2024/01/16,09:48:51,謝謝您
User,黃利蛾🌸2/12,2024/01/16,09:49:10,但床型不能備註
Account,敏min,2024/01/16,10:23:55,我們這邊幫您備註喔
Account,敏min,2024/01/16,10:24:19,請問訂單編號和所需床型？
User,黃利蛾🌸2/12,2024/01/16,10:33:57,"RMPGP240015014
無障礙四人房
四張單人床"
Account,敏min,2024/01/18,14:36:54,好的，以幫您備註喔，謝謝您
User,黃利蛾🌸2/12,2024/01/18,14:38:08,貼圖已傳送
Account,敏min,2024/01/18,14:38:21,貼圖已傳送
User,黃利蛾🌸2/12,2024/01/23,09:48:19,貼圖已傳送
Account,AI自動回應訊息,2024/01/23,09:48:20,貼圖已傳送
User,黃利蛾🌸2/12,2024/01/23,09:49:05,RMPGP240015014其中一間經典雙人房攜帶寵物
Account,AI自動回應訊息,2024/01/23,09:49:05,"黃利蛾🌸Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/01/23,10:21:54,照片已傳送
Account,敏min,2024/01/23,10:22:35,攜帶寵物相關資訊請知悉，寵物清潔費會在辦理入住時收取喔，謝謝您
User,黃利蛾🌸2/12,2024/01/23,10:23:23,沒有寵物墊可使用嗎
Account,AI自動回應訊息,2024/01/23,10:23:23,"黃利蛾🌸Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/01/23,10:23:44,要麻煩自行攜帶喔
User,黃利蛾🌸2/12,2024/01/23,10:24:16,沒有提供任何可以供寵物使用的東西?
Account,敏min,2024/01/23,10:24:44,寵物相關物品都要自行攜帶喔
User,黃利蛾🌸2/12,2024/01/23,10:24:55,OK
Account,敏min,2024/01/23,10:25:03,貼圖已傳送
Account,敏min,2024/02/12,11:52:43,您好，請問今天預計幾點抵達呢
User,黃利蛾🌸2/12,2024/02/12,11:53:15,3-4點
Account,敏min,2024/02/12,12:05:03,請問是開車來嗎
User,黃利蛾🌸2/12,2024/02/12,12:05:25,7台車
User,黃利蛾🌸2/12,2024/02/12,12:14:32,可以保留車位嗎
Account,敏min,2024/02/12,16:30:43,不能事先保留喔，目前室內停車場位置已經不夠了，我們有室外停車場，抵達時可以先在門口下行李，會在指引您停車場位置，謝謝您
