帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/07,19:44:24,"金素熙感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/07,19:44:24,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/07,19:44:24,貼圖已傳送
User,可樂,2024/02/11,20:10:53,我是509號房，2台計程車，7:30
Account,AI自動回應訊息,2024/02/11,20:10:54,"金素熙歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/02/11,20:10:54,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
Account,敏min,2024/02/11,20:11:23,請問幾個人?
User,可樂,2024/02/11,20:11:26,7
Account,敏min,2024/02/11,20:12:04,旅棧到恆春
Account,敏min,2024/02/11,20:12:09,稍後
User,可樂,2024/02/11,20:22:48,不用了喔
User,可樂,2024/02/11,20:22:51,貼圖已傳送
Account,敏min,2024/02/11,20:23:29,好的
User,可樂,2024/02/12,03:34:54,有泡麵嗎
Account,AI自動回應訊息,2024/02/12,03:34:55,"為了您的健康和不影響無吸菸的朋友 
我們全館皆無法吸煙 ，謝謝您的配合 (moon big smile)"
User,可樂,2024/02/12,03:35:22,有泡麵嗎
Account,AI自動回應訊息,2024/02/12,03:35:23,"為了您的健康和不影響無吸菸的朋友 
我們全館皆無法吸煙 ，謝謝您的配合 (moon big smile)"
Account,Lyken,2024/02/12,03:36:01,旅棧無販售泡麵
User,可樂,2024/02/12,03:36:26,有賣啥
Account,AI自動回應訊息,2024/02/12,03:36:27,"金素熙Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/02/12,03:37:21,目前沒有販售食物
