帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/24,15:05:25,"Maggie感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/24,15:05:25,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/24,15:05:25,貼圖已傳送
User,Maggie2/10,2024/01/24,15:08:47,我想訂2/10日雙人2間3人1間
Account,AI自動回應訊息,2024/01/24,15:08:48,"MaggieSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/01/24,15:30:39,"Maggie您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,Maggie2/10,2024/02/10,15:34:46,照片已傳送
Account,AI自動回應訊息,2024/02/10,15:34:47,"MaggieSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,Maggie2/10,2024/02/10,15:35:23,我們會晚上大約十點左右到
Account,AI自動回應訊息,2024/02/10,15:35:24,"MaggieSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/02/10,15:38:24,好的，我們最晚辦理入住時間為23點前喔，謝謝您
User,Maggie2/10,2024/02/10,17:37:34,謝謝您
Account,AI自動回應訊息,2024/02/10,17:37:34,"Maggie很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
