帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/09,15:12:42,"君感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/02/09,15:12:42,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/02/09,15:12:42,貼圖已傳送
User,君2/12,2024/02/09,15:12:53,貼圖已傳送
Account,AI自動回應訊息,2024/02/09,15:12:54,貼圖已傳送
User,君2/12,2024/02/09,15:13:27,我的訂單編號1142947732
Account,AI自動回應訊息,2024/02/09,15:13:28,"君很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
User,君2/12,2024/02/09,15:14:55,我們原本預定2/12-2/14因2/13有事無法入住，所以是否可以改為2/12
Account,AI自動回應訊息,2024/02/09,15:14:55,"君Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,君2/12,2024/02/09,15:16:53,我們原本預定2/12-2/14一間雙人房，因2/13有事無法入住，所以是否可以改為2/12訂2間雙人房
Account,AI自動回應訊息,2024/02/09,15:16:54,"君Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,Lyken,2024/02/09,15:17:48,請問是在哪個平台預定的？
User,君2/12,2024/02/09,15:18:02,Agoda 
Account,Lyken,2024/02/09,15:19:29,Agoda預訂需修改或取消請參考agoda訂房條款，並和agoda協調，旅棧無法協助更改或取消喔
User,君2/12,2024/02/09,15:20:55,我有請Agoda跟你們聯絡了。
Account,敏min,2024/02/09,17:34:11,您好，應該已經處理完了喔，請在確認訂單，謝謝您
User,君2/12,2024/02/09,18:19:27,貼圖已傳送
User,君2/12,2024/02/09,18:19:27,看
Account,AI自動回應訊息,2024/02/09,18:19:27,貼圖已傳送
Account,AI自動回應訊息,2024/02/09,18:19:27,"君Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,君2/12,2024/02/09,18:19:28,貼圖已傳送
Account,AI自動回應訊息,2024/02/09,18:19:29,貼圖已傳送
