帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/30,23:58:57,"𝓣𝓲𝓷𝓰感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/30,23:58:57,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/30,23:58:57,貼圖已傳送
User,𝓣𝓲𝓷𝓰2/12,2024/01/30,23:59:14,不好意思好像沒辦法更改成一間四人房
Account,AI自動回應訊息,2024/01/30,23:59:15,"𝓣𝓲𝓷𝓰Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/01/31,00:00:08,請問您是透過哪一個網頁預定呢
User,𝓣𝓲𝓷𝓰2/12,2024/01/31,00:00:28,照片已傳送
User,𝓣𝓲𝓷𝓰2/12,2024/01/31,00:00:28,這個
Account,敏min,2024/01/31,00:01:34,這是agoda的平台，您可能要詢問agoda客服會比較準確喔
Account,敏min,2024/01/31,00:01:43,"𝓣𝓲𝓷𝓰您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
User,𝓣𝓲𝓷𝓰2/12,2024/01/31,00:01:54,好的謝謝
Account,敏min,2024/01/31,00:02:50,這邊才是我們的官網，官網訂房數量都是預設1間喔
