帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/28,22:30:57,"諭👻👻感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/28,22:30:57,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/28,22:30:57,貼圖已傳送
User,諭👻👻2/13,2024/01/28,22:31:06,請問可以攜帶小型犬入住嗎
Account,AI自動回應訊息,2024/01/28,22:31:06,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/01/29,11:24:41,照片已傳送
User,諭👻👻2/13,2024/01/30,22:50:08,2/13兩位 還有空房嗎
Account,AI自動回應訊息,2024/01/30,22:50:08,"諭👻👻Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,龜地灣櫃檯,2024/01/30,23:57:42,"諭👻👻您好!

旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。
"
Account,敏min,2024/01/30,23:58:14,目前還有空房喔
Account,敏min,2024/01/30,23:58:20,可直接上網預定
User,諭👻👻2/13,2024/01/31,00:10:28,你好 我有去官網下訂完成了訂單編號： RMPGP240029555
Account,AI自動回應訊息,2024/01/31,00:10:29,"諭👻👻歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/01/31,00:10:29,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,諭👻👻2/13,2024/01/31,00:10:49,我們會攜帶一隻小型犬
Account,AI自動回應訊息,2024/01/31,00:10:49,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,諭👻👻2/13,2024/01/31,00:11:03,然後我們需要兩小床 謝謝
Account,敏min,2024/01/31,00:11:32,床型可以備註但是以每位客人需求的先後順序做安排喔
Account,敏min,2024/01/31,00:11:49,無法保證一定會有喔
User,諭👻👻2/13,2024/01/31,00:11:54,好的
Account,敏min,2024/01/31,00:12:05,會儘量幫您安排
Account,敏min,2024/01/31,00:12:22,謝謝您
User,諭👻👻2/13,2024/01/31,00:12:25,謝謝你，那請問停車場是需要早到才有地方停嗎
User,諭👻👻2/13,2024/01/31,00:12:37,還是都有車位可停
Account,龜地灣櫃檯,2024/01/31,00:12:48,★本旅棧設有室內及室外停車位(無法指定，以當天安排為主)，請先至櫃檯辦理入住手續後再行停車，屆時服務人員會引導您停車方式。
User,諭👻👻2/13,2024/01/31,00:13:03,好的 感謝你
Account,敏min,2024/01/31,00:13:56,謝謝您
Account,敏min,2024/01/31,00:14:03,貼圖已傳送
User,諭👻👻2/13,2024/01/31,00:25:25,照片已傳送
Account,AI自動回應訊息,2024/01/31,00:25:26,"諭👻👻Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,諭👻👻2/13,2024/01/31,00:25:29,不好意思 我這裡好像有另一筆一樣的訂單 應該是剛剛網路卡住所以有重複下單  這筆沒有付款 在麻煩你們幫我取消 謝謝😅😅
Account,AI自動回應訊息,2024/01/31,00:25:30,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,敏min,2024/01/31,19:52:28,沒問題的，超過付款期限系統會自動取消喔，謝謝您
