帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/26,11:46:50,"四方通行旅遊網客服部感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/26,11:46:50,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/26,11:46:50,貼圖已傳送
User,四方通行(訂單問題可在這裡發問),2024/01/26,11:47:01,貼圖已傳送
Account,AI自動回應訊息,2024/01/26,11:47:02,貼圖已傳送
User,四方通行(訂單問題可在這裡發問),2024/01/26,11:47:16,您好~這裡是四方通行旅行社
Account,AI自動回應訊息,2024/01/26,11:47:16,"四方通行旅遊網客服部歡迎您加入龜地灣旅棧官方ＬＩＮＥ(moon big smile)
本系統可以自動回覆一般基本疑問。
若較難理解的疑問，則會由專人為您回覆。

您可以立即詢問以下問題，例如 : 
・付款方式
・店家地址
・最近車站
・停車場
・導覽地圖

歡迎按讚+關注我們的粉絲專業，將會有更多資訊提供給您(moon wink)

FB: https://www.facebook.com/kuei.ti.wan
IG: https://www.instagram.com/ktw_8822161/
訂房官網：https://lihi.tv/gBe19"
Account,AI自動回應訊息,2024/01/26,11:47:16,訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(laugh)
User,四方通行(訂單問題可在這裡發問),2024/01/26,11:47:44,我們有旅客想詢問2/12親子家庭房*1間，是否還有房呢?
Account,AI自動回應訊息,2024/01/26,11:47:44,"四方通行旅遊網客服部Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,龜地灣,2024/01/26,11:50:44,有喔
User,四方通行(訂單問題可在這裡發問),2024/01/26,11:52:25,"那我們稍後下詢問單給您，是否可從後台回覆客報房價呢?
(客報房價為包含四方通行10%佣金)
"
Account,Lyken,2024/01/26,11:55:10,好
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:05:22,"2/12訂單編號：186240126000556/親子家庭房1間
詢問單已在後台，在請您後台回覆房況/客報房價，謝謝您"
Account,龜地灣,2024/01/26,12:06:18,我們查看一下
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:06:24,貼圖已傳送
Account,Lyken,2024/01/26,12:18:21,請問要在哪裡回覆？
Account,Lyken,2024/01/26,12:18:36,照片已傳送
Account,Lyken,2024/01/26,12:18:42,看不到訂單內容
Account,Lyken,2024/01/26,12:18:51,有找到了
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:18:56,幫我們點一下詳細資料
Account,Lyken,2024/01/26,12:19:14,所以是要報價嗎？
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:23:53,照片已傳送
Account,Lyken,2024/01/26,12:24:05,ＯＫ
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:24:22,"是的，若有房可以保留的話，請幫我們填寫客報價格
(客報房價為包含四方通行10%佣金)"
User,四方通行(訂單問題可在這裡發問),2024/01/26,12:25:21,"在按下一步，將訂單發送繳費通知給旅客
(房間需請協助保留到1/27下午4點)"
Account,Lyken,2024/01/26,12:25:36,OK
User,四方通行(訂單問題可在這裡發問),2024/01/26,14:02:26,不好意思，詢問單您那邊可能沒有回覆成功喔，訂單要請您按到最後一步儲存為止
Account,AI自動回應訊息,2024/01/26,14:02:26,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/01/26,14:02:39,好
User,四方通行(訂單問題可在這裡發問),2024/01/31,17:24:03,"您好~因發現旅棧近期尚未開啟四方通行這邊的房價
這裡可提供給您空白房價表填寫2024年的房價
在麻煩您填寫後回傳，可為您開啟喔
(或是飯店可自行登後台開房)"
Account,AI自動回應訊息,2024/01/31,17:24:04,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,四方通行(訂單問題可在這裡發問),2024/01/31,17:25:45,照片已傳送
Account,AI自動回應訊息,2024/01/31,17:25:46,"四方通行旅遊網客服部Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,四方通行(訂單問題可在這裡發問),2024/01/31,17:26:32,照片已傳送
Account,AI自動回應訊息,2024/01/31,17:26:32,"四方通行旅遊網客服部Sorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
