帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/21,11:12:19,"QIANCI感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/21,11:12:19,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/21,11:12:19,貼圖已傳送
User,QIANCI 1/20,2024/01/21,11:12:22,貼圖已傳送
Account,AI自動回應訊息,2024/01/21,11:12:22,貼圖已傳送
Account,敏min,2024/01/21,11:13:00,您好
User,QIANCI 1/20,2024/01/21,11:13:20,您好 再麻煩您傳送寄回地址
Account,敏min,2024/01/21,11:13:27,在麻煩您幫我們寄回房卡
User,QIANCI 1/20,2024/01/21,11:13:52,寄到這個地址就可以嗎
Account,敏min,2024/01/21,11:14:14,電話 08-8822161地址 屏東縣車城鄉龍井路1-18號
Account,敏min,2024/01/21,11:14:30," 08-8822161
屏東縣車城鄉龍井路1-18號"
Account,敏min,2024/01/21,11:14:38,沒錯喔，麻煩您了
User,QIANCI 1/20,2024/01/21,11:15:03,感謝 不好意思
Account,敏min,2024/01/21,11:15:06,貼圖已傳送
User,QIANCI 1/20,2024/01/23,21:48:29,收到 再麻煩告知我一聲 怕寄件有什麼差錯 你們沒有收到 感謝
Account,AI自動回應訊息,2024/01/23,21:48:30,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/01/23,22:14:16,好的，沒問題，謝謝
Account,敏min,2024/01/26,12:29:56,您好，有收到您寄回的房卡囉，謝謝您
Account,敏min,2024/01/26,12:30:00,貼圖已傳送
User,QIANCI 1/20,2024/01/26,13:14:46,好的
Account,AI自動回應訊息,2024/01/26,13:14:46,"QIANCI很高興能為您服務，如有其他疑問
歡迎隨時與我們聯絡，謝謝(cony kiss)"
