帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/21,19:31:07,"una感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/21,19:31:07,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/21,19:31:07,貼圖已傳送
User,una1/21,2024/01/21,20:14:52,您好 我是今晚入住的311房客 剛剛跟Agoda聯繫囉 因為他們無法直接退早餐費用 所以我們明日一樣需要4客早餐 付費時再麻煩協助附上收據以便後續向訂房中心請款 感謝。
Account,AI自動回應訊息,2024/01/21,20:14:53,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
User,una1/21,2024/01/21,20:15:04,照片已傳送
Account,AI自動回應訊息,2024/01/21,20:15:05,"unaSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
Account,敏min,2024/01/21,20:16:34,請問明天早餐時間?
Account,敏min,2024/01/21,20:16:48,8點/8點半/9點
Account,敏min,2024/01/21,20:21:59,早餐8:30在1樓餐廳用餐，報房號即可喔
Account,敏min,2024/01/21,20:22:03,謝謝您
User,una1/21,2024/01/21,20:22:09,好的 謝謝您
Account,敏min,2024/01/21,20:22:48,貼圖已傳送
