帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:35
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/01,02:05:52,"cheng感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)

☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID @k088822161

🔻Facebook粉絲專頁
https://ktwhotels.com/lwfb

🔻IG粉專
https://ktwhotels.com/lwig

(car)導航連結
https://ktwhotels.com/lwgm"
Account,自動回應訊息,2024/01/01,02:05:52,"🔻旅棧官方訂房網址
https://lihi.tv/gBe19

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)"
Account,自動回應訊息,2024/01/01,02:05:52,貼圖已傳送
User,J.cheng,2024/01/01,02:08:38,通話時間 2:37
User,J.cheng,2024/01/01,02:11:31,影片已傳送
Account,AI自動回應訊息,2024/01/01,02:11:38,"chengSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J.cheng,2024/01/01,02:11:44,影片已傳送
Account,AI自動回應訊息,2024/01/01,02:11:49,"chengSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J.cheng,2024/01/01,02:11:53,照片已傳送
Account,AI自動回應訊息,2024/01/01,02:11:54,"chengSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J.cheng,2024/01/01,02:12:04,照片已傳送
Account,AI自動回應訊息,2024/01/01,02:12:05,"chengSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J.cheng,2024/01/01,02:12:28,照片已傳送
Account,AI自動回應訊息,2024/01/01,02:12:30,"chengSorry ~ 很抱歉
目前人員忙錄中，請您稍候
我們將會為您解答 (moon oops)

如已預訂完成或有訂單問題
麻煩提供您的「 訂單編號 」
以利加速查詢作業，謝謝(moon big smile)"
User,J.cheng,2024/01/01,02:12:45,我們的毛巾有限
Account,AI自動回應訊息,2024/01/01,02:12:46,"謝謝您的訊息 (moon wink)

此為自動回覆系統，敬請耐心等候客服人員與您聯絡。

訂單問題可以先提供訂單編號，以利客服人員作業縮減等待時間(moon big smile)"
Account,Lyken,2024/01/01,02:14:10,放便進去幫你們拖乾嗎？
User,J.cheng,2024/01/01,02:14:21,可以。我們沒意見
User,J.cheng,2024/01/01,02:16:38,照片已傳送
User,J.cheng,2024/01/01,02:16:51,你們一年前就有這個問題了
