帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/10/07,22:22:05,"Cherry感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/10/07,22:22:05,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/10/07,22:22:05,貼圖已傳送
Account,自動回應訊息,2025/10/07,22:22:05,"Cherry您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,Cherry,2025/10/07,22:33:09,"訂單編號

1656501320"
Account,龜地灣櫃檯,2025/10/09,20:28:39,您好 有查詢到1656501320 這筆訂單
Account,龜地灣櫃檯,2025/10/09,20:28:55,10/15-10/17 三人房
Account,龜地灣櫃檯,2025/10/09,20:29:16,提醒您 本專案無包含早餐/盥洗用品需自備 櫃台非24小時 請盡早辦理入住 謝謝
User,Cherry,2025/10/15,17:39:04,請問櫃檯到幾點呢
Account,Lyken,2025/10/15,17:40:01,您好
Account,Lyken,2025/10/15,17:40:13,請問今天有估計抵達的時間嗎？
User,Cherry,2025/10/15,17:40:17,盥洗用品有附哪些呢
User,Cherry,2025/10/15,17:40:41,目前google預計2250
Account,Lyken,2025/10/15,17:40:47,一次性用品都沒有提供，毛巾和沐浴乳都有
User,Cherry,2025/10/15,17:40:55,貼圖已傳送
Account,Lyken,2025/10/15,17:41:15,有攜帶一隻寵物
User,Cherry,2025/10/15,17:41:32,對
User,Cherry,2025/10/15,17:41:45,要清潔費
Account,Lyken,2025/10/15,17:41:49,照片已傳送
Account,Lyken,2025/10/15,17:42:03,再麻煩幫我們參閱
Account,Lyken,2025/10/15,17:42:44,櫃檯到11點，如果會超過一點點可以先告訴我們
User,Cherry,2025/10/15,17:42:46,"好的
我們寵物有自備毛巾"
User,Cherry,2025/10/15,17:42:49,好的
Account,Lyken,2025/10/15,17:42:58,路上小心
User,Cherry,2025/10/15,17:43:11,感謝您
Account,Lyken,2025/10/15,17:43:31,貼圖已傳送
