帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:32
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/09/30,17:59:54,"💝Cindy感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/09/30,17:59:54,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/09/30,17:59:54,貼圖已傳送
Account,自動回應訊息,2025/09/30,17:59:54,"💝Cindy您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,💝Cindy,2025/09/30,18:03:50,"您好：
我原先在官網訂房
訂單編號:RMPGP250233317
已付訂金完成


但是後來我先生也在差不多時間在訂房網站上也訂了貴旅棧的房(訂單編號：1654906372)

因為剛剛打電話過去都沒有聲音

想問我是否還可以將訂單編號:RMPGP250233317取消
已經付的訂金是否可以申請退款呢??

不知是否有人可以協助我
謝謝您
"
User,💝Cindy,2025/09/30,18:22:29,"是否在確認訂單後
回電給我呢
0922579539 徐小姐
謝謝"
Account,Lyken,2025/09/30,18:27:22,"RMPGP250233317
這張確定取消嗎？"
Account,Lyken,2025/09/30,18:27:44,你們訂的兩張單內容是不一樣的喔
User,💝Cindy,2025/09/30,18:27:52,"是
但是已付訂金如何處理？"
User,💝Cindy,2025/09/30,18:28:04,我知道 
Account,Lyken,2025/09/30,18:30:09,您是line pay支付，會直接line pay退回
User,💝Cindy,2025/09/30,18:30:19,謝謝您
Account,Lyken,2025/09/30,18:30:24,現在幫您取消
User,💝Cindy,2025/09/30,18:30:30,好的
User,💝Cindy,2025/09/30,18:38:14,請問訂金是全額退款嗎？
Account,Lyken,2025/09/30,18:39:39,你支付的金額
User,💝Cindy,2025/09/30,18:39:54,好的 謝謝
Account,Lyken,2025/09/30,18:40:05,您可以到line pay確認一下
User,💝Cindy,2025/09/30,18:41:17,好的
Account,龜地灣櫃檯,2025/09/30,19:17:50,再麻煩截圖附依據給我們
Account,龜地灣櫃檯,2025/09/30,19:17:53,謝謝您
User,💝Cindy,2025/09/30,19:18:50,我的LINE PAY是綁信用卡
User,💝Cindy,2025/09/30,19:18:58,目前還沒收到刷退通知
User,💝Cindy,2025/09/30,19:21:42,照片已傳送
User,💝Cindy,2025/09/30,19:22:06,LINE錢包內有退款 我會再跟信用卡銀行確認 謝謝您協助
Account,龜地灣櫃檯,2025/09/30,19:45:09,好的 感謝協助
Account,龜地灣櫃檯,2025/09/30,19:45:16,謝謝您
User,💝Cindy,2025/10/10,16:58:33,房號502
