帳號名稱,龜地灣旅棧
時區,'+09:00
下載時間,2025/12/06 06:33
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/18,13:18:31,"琦感謝您將龜地灣旅棧設為好友 (wink)

我們將不定時推出各項活動和優惠 ~
(sparkle) 凡使用官網訂房及享優惠 (sparkle)

本旅棧提供免費停車場
需完成辦理登記入住(car)才能進入停車場(blushing smile)
☎電話 08-8822161 
(office)地址 屏東縣車城鄉龍井路1-18號 
(love letter)LINE ID: @k088822161
🔻Facebook粉絲專頁
https://ktwhotel.com/FB
🔻IG粉專
https://ktwhotel.com/IG
(car)導航連結
https://ktwhotel.com/google_map"
Account,自動回應訊息,2025/05/18,13:18:31,"🔻旅棧官方訂房網址
https://ktwhotel.com/official-OTA

(light bulb)訂房後完成訂金支付才予以保留房間喔(!!!)
(light bulb)任何房型需求請填寫於訂房網頁備註欄 謝謝 (kiss)
----------------------------------------------------------------
非上列網址預定，皆不屬於官網訂單。
非官網定訂單(如agoda  booking 攜程 易遊網)問題，請洽預定平台客服電話。

館內停車位及床型為官網預定需求優先，如您在其餘訂房網站預定，館方不保證能有停車位或您需求之房型，館方會盡力幫您安排，敬請海涵。

Agoda	  02-7750-7701	
Booking.  02-8793-3061
Airbnb	  0800-868313
Expedia	  02-77438472"
Account,自動回應訊息,2025/05/18,13:18:31,貼圖已傳送
Account,自動回應訊息,2025/05/18,13:18:31,"琦您好，館內相關資訊請先參閱上述內容，訂房相關問題，請直接留言告知[內容]和[訂單編號]，
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
請複製貼上訂單編號，不要截圖
訂房相關事項，將於工作時間回覆您。謝謝"
User,chichitseng,2025/05/18,13:20:00,"你好
有在Agoda預定兩間房間

因為前幾天媽媽剛好開刀
不能去
可以麻煩先退款嗎？"
Account,Unknown,2025/05/18,13:20:00,"您好!
旅棧官方訂房網址
https://lihi.tv/gBe19
可以查詢需要的[房型][價錢][專案][空房數量]。

訂房後完成訂金支付才予以保留房間，
任何房型需求請填寫於訂房網頁備註欄，
並請在完成訂房後告知我們訂單編號，
以方便後續的服務喔。"
User,chichitseng,2025/05/18,13:23:25,照片已傳送
User,chichitseng,2025/05/18,13:23:25,照片已傳送
User,chichitseng,2025/05/18,17:32:58,"或者延後也可以
再麻煩你
謝謝"
User,chichitseng,2025/05/19,15:44:07,"請問可以嗎？
因為媽媽目前住院
大概6月中才能出院"
Account,Lyken,2025/05/19,15:45:00,有延後確認的日期嗎？
User,chichitseng,2025/05/19,15:45:11,"好
我看一下"
User,chichitseng,2025/05/19,15:45:30,7/12～13
Account,Lyken,2025/05/19,15:49:46,應該會有價差的產生喔
Account,Lyken,2025/05/19,15:49:57,暑假屬於旺季
Account,Lyken,2025/05/19,15:51:02,退款是確定沒辦法，但是延期可以幫您跟主管確認一下
User,chichitseng,2025/05/19,15:54:37,"沒關係
再麻煩你🙏🏻"
Account,Lyken,2025/05/19,15:56:48,我們確認一下補的差價，保留好房間後告知喔
User,chichitseng,2025/05/19,16:06:51,"好
一間
是雙人床加單人床

一間是兩張單人床

再麻煩你🙏🏻"
User,chichitseng,2025/05/20,13:45:27,請問有問嗎？
Account,Lyken,2025/05/20,14:51:58,有的，我們主管館告知需要一點時間算一下
Account,Lyken,2025/05/20,14:52:31,目前更改沒問題！
User,chichitseng,2025/05/20,15:04:51,貼圖已傳送
User,chichitseng,2025/05/20,15:06:16,"那請問一下
因為我是訂端午節
如果更改到雙十節
費用是不是就不用更改？"
Account,龜地灣,2025/05/20,15:16:02,有確定嗎？因為我們的價錢都是浮動的，所以您需要告知確切的更改日期
User,chichitseng,2025/05/20,15:17:13,"'
好
確定10/10～10/11"
Account,龜地灣,2025/05/20,15:17:37,那我們確認後告知
Account,龜地灣,2025/05/20,15:18:03,更改只有一次喔，其餘無法再更動
User,chichitseng,2025/05/20,15:34:35,"好
確定
再麻煩你"
User,chichitseng,2025/05/23,16:10:45,請問確認好了嗎？
Account,Lyken,2025/05/24,16:46:39,確認有保留了，更改日期更遠所以要在稍晚回復
User,chichitseng,2025/05/24,16:50:31,"好
謝謝

稍晚回覆是過陣子嗎？"
User,chichitseng,2025/09/23,11:41:27,"請問日期有出來
確認好了嗎？"
Account,Lyken,2025/09/24,16:03:21,10/10您原先訂的房型都沒有了，幫都更換成無礙四人房好嗎？房間內容都一樣，只有浴室沒有乾濕分離這樣。
Account,Lyken,2025/09/24,16:04:09,無需補價差
User,chichitseng,2025/09/24,16:04:15,需要兩間房喔
Account,Lyken,2025/09/24,16:04:20,是的
Account,Lyken,2025/09/24,16:04:30,兩間都是無障礙四人房
User,chichitseng,2025/09/24,16:04:53,所以裡面兩個雙人床？
Account,Lyken,2025/09/24,16:05:25,一間四張單人一間兩張雙人
User,chichitseng,2025/09/24,16:07:04,好👌
Account,Lyken,2025/09/24,16:34:01,麻煩提供聯絡電話
User,chichitseng,2025/09/24,16:54:01,0925737663
Account,Lyken,2025/09/25,14:09:18,好的
User,chichitseng,2025/10/10,16:44:49,315
User,chichitseng,2025/10/10,16:44:50,313
